Q2	Q3504248
Q40970	Q79913 Q11422536 Q163740
Q40971	Q17412622 Q4830453
Q40984	Q635540 Q35127 Q3220391 Q81945 Q15614021 Q2462003 Q943687
Q40990	Q17412622 Q786820
Q40993	Q17412622 Q6881511 Q4830453
Q40998	Q66745531
Q41057	Q1549591 Q1093829 Q62049 Q21518270
Q41064	Q179461 Q29154430
Q41087	Q1093829 Q1549591 Q21518270
Q41116	Q570116 Q174782
Q41177	
Q41180	Q23691
Q41183	Q1637706 Q1549591 Q515
Q41185	Q484170 Q1549591
Q41187	Q778575 Q6881511 Q4830453
Q41207	
Q41217	Q11862829
Q41228	Q399984
Q41262	Q1357964 Q1549591 Q515
Q41266	Q5
Q41268	Q208569
Q41269	Q5
Q41284	Q5
Q41291	
Q41304	Q11514315 Q3024240
Q41309	Q5
Q41370	Q20643955
Q41402	Q5
Q41413	Q8502
Q41415	Q19861951 Q14915034
Q41425	Q31629 Q1792379
Q41426	Q1875621
Q41466	Q31629 Q212434 Q216048
Q41470	Q82794 Q3502482
Q41476	Q5
Q41483	Q11424
Q41490	Q179461 Q29154430 Q7725634
Q41502	Q5
Q41509	Q223662 Q82047057 Q69197847 Q51980494
Q41533	Q5
Q41534	Q25403900 Q416796 Q902638
Q41550	Q484652 Q245065 Q2085381
Q41555	Q5
Q41567	Q25379
Q41568	Q5
Q41576	Q850692 Q11173 Q12140 Q55427776 Q2908004 Q72941151
Q41585	Q5
Q41621	Q3505887 Q15284 Q1549591 Q515
Q41640	Q5
Q41641	Q5
Q41657	Q5
Q41673	Q186516
Q41675	Q1002697 Q7725634
Q41688	Q5
Q41689	Q5
Q41735	Q165
Q41746	Q22988604
Q41749	Q5
Q41766	Q5
Q41843	Q1549591 Q515
Q41849	Q5
Q41898	Q12321 Q2940408
Q41921	Q5
Q41967	Q261543
Q41975	Q41710
Q41984	Q15925165
Q42002	Q4671286 Q11862829
Q42013	Q5
Q42034	Q5
Q42063	Q5
Q42192	Q747074
Q42240	
Q42247	Q5
Q42250	Q1047113
Q42262	Q484652 Q17505024 Q245065
Q42267	Q6979593
Q42274	Q483130 Q577697
Q42295	
Q42305	Q5
Q42308	Q1637706 Q12134916 Q5123999
Q42323	Q5
Q42332	Q235557 Q26085352 Q81986407
Q42344	
Q42369	Q220505
Q42372	
Q42443	Q5
Q42448	Q1549591 Q515
Q42482	Q56816954
Q42497	Q261543
Q42505	Q1149652
Q42585	Q681026 Q26830017 Q3024240
Q42603	Q63187345
Q42614	Q179461 Q29154430
Q42720	Q43577
Q42731	Q5
Q42735	Q1093829 Q62049 Q21518270
Q42765	Q1149652
Q42767	Q268592
Q42800	Q5119 Q3184121 Q515 Q1637706 Q1549591
Q42857	Q12737077 Q2642184
Q42876	Q186516
Q42885	Q747074
Q42887	Q5
Q42891	Q21070568 Q979507
Q42901	Q1149652
Q42906	Q747074
Q42918	
Q42944	Q484652 Q31855
Q42946	Q747074
Q42952	Q842697 Q16513881
Q42971	Q747074
Q42973	Q11488158 Q28640
Q42985	Q5
Q42989	Q1936384
Q42992	Q5
Q42998	Q20202269
Q43005	Q747074
Q43010	Q12089225
Q43015	Q4671286 Q11862829
Q43022	Q59544
Q43027	Q5
Q43028	Q747074
Q43033	Q5
Q43063	Q5
Q43067	Q5
Q43070	Q7930989 Q1549591 Q5123999 Q12134916
Q43099	Q179461 Q29154430
Q43109	
Q43175	Q186516
Q43183	Q8187769 Q268592
Q43192	Q186516
Q43193	
Q43194	Q1615742
Q43195	Q70208 Q54935504
Q43196	Q1093829 Q1549591
Q43199	Q1093829 Q1549591
Q43244	Q39715 Q66108498 Q19860854
Q43269	Q501094
Q43274	Q5
Q43281	Q41298
Q43290	Q179461
Q43292	Q355567 Q1326966 Q4164871
Q43297	Q41298 Q11032
Q43301	Q1093829 Q1549591
Q43303	Q5
Q43325	Q261543
Q43327	Q18127
Q43347	Q5
Q43359	Q561068 Q5009242
Q43380	Q1616075
Q43382	Q1549591 Q515
Q43399	Q5
Q43421	Q1266818 Q21518270
Q43433	Q1637706 Q5119 Q1549591 Q467745
Q43444	Q5
Q43450	Q31629
Q43452	Q875538 Q45400320
Q43475	Q1357964 Q1549591 Q515
Q43482	Q1127126 Q34770 Q41710 Q28872924 Q465299 Q2472587
Q43499	Q5
Q43509	Q1637706 Q1549591 Q515
Q43511	Q16521
Q43600	Q5 Q20643955
Q43627	
Q43631	Q2039348
Q43637	Q877707
Q43689	Q5
Q43697	Q5
Q43706	Q5
Q43720	Q5
Q43727	Q5
Q43734	Q5
Q43739	Q5
Q43746	Q5
Q43749	Q5
Q43788	Q21518270 Q15221310 Q62049 Q1093829 Q1549591
Q43812	
Q43876	Q8072 Q8502
Q43919	Q62049 Q21518270 Q63440326
Q43922	Q5
Q43926	Q5
Q43932	Q5
Q43939	Q5
Q43944	Q5
Q43948	Q5
Q43994	Q5
Q44003	Q5
Q44007	Q5
Q44011	Q5
Q44013	Q1549591 Q515 Q15210668
Q44024	Q5
Q44086	Q5
Q44100	Q5
Q44136	Q618779
Q44137	Q5
Q44167	
Q44170	Q5
Q44197	Q5
Q44209	Q482994
Q44233	Q5
Q44237	Q1549591 Q15284 Q515
Q44247	Q482994
Q44258	Q5
Q44271	Q5
Q44279	Q5
Q44289	Q482994
Q44315	Q5
Q44337	
Q44344	Q5
Q44377	
Q44403	Q5
Q44424	Q1571801
Q44428	Q5
Q44490	Q5
Q44512	
Q44517	Q5
Q44527	Q5
Q44559	Q17444909
Q44564	Q1093829 Q62049 Q21518270
Q44567	Q5
Q44571	Q1143070 Q14656
Q44580	Q5
Q44584	Q5
Q44588	Q644371
Q44589	Q5
Q44613	
Q44624	Q5
Q44626	Q392928 Q6156156 Q403523
Q44661	Q33384
Q44663	Q5
Q44676	Q33384 Q34770
Q44679	Q34770
Q44700	Q718893
Q44703	Q28598684
Q44709	Q5
Q44733	Q5
Q44752	Q5
Q44780	Q5
Q44782	
Q44819	Q5
Q44842	Q5
Q44868	Q1248784 Q644371
Q44892	Q215380
Q44905	Q5
Q44934	Q5
Q44947	Q5
Q44980	Q5
Q44989	Q1093829 Q1549591
Q44993	Q5
Q45037	Q5
Q45045	
Q45066	Q5
Q45102	Q5
Q45120	Q5
Q45146	Q5
Q45160	Q5
Q45176	Q5
Q45188	Q5741069 Q215380
Q45201	Q5
Q45218	Q482994
Q45227	
Q45250	Q5
Q45294	Q5
Q45341	Q204894
Q45397	Q5
Q45422	Q25403900 Q55983715
Q45502	Q5
Q45523	Q1248784 Q644371
Q45568	Q22687 Q650241 Q4830453
Q45573	Q5
Q45584	Q9174
Q45610	Q5
Q45615	Q5
Q45661	Q5
Q45662	Q5
Q45667	Q5
Q45682	Q5
Q45713	
Q45722	Q63188808 Q216353 Q4164871
Q45754	Q482994
Q45758	Q80096233 Q294414
Q45782	
Q45789	Q5
Q45805	Q403523 Q392928
Q45810	Q25446819 Q4818169
Q45838	Q5
Q45862	Q134556
Q45868	Q1776764
Q45908	Q12045585
Q45922	
Q45935	Q1248784 Q644371
Q45938	Q1248784 Q644371
Q46005	Q13393265
Q46033	Q1248784 Q644371
Q46052	Q5
Q46087	Q5
Q46090	Q5
Q46096	Q5
Q46120	Q5
Q46242	Q481289 Q751876 Q1200957 Q2065736 Q16560 Q33506 Q23413
Q46277	Q747074
Q46280	Q644371
Q46311	Q15142889
Q46321	Q5
Q46325	Q41067667
Q46370	Q3024240
Q46420	Q5
Q46479	Q5
Q46522	Q5
Q46573	Q215380
Q46577	Q5
Q46585	Q186516
Q46602	Q5
Q46611	Q21605492 Q170584 Q13226541
Q46622	Q7860962
Q46633	Q5
Q46650	Q23442
Q46652	Q12759805 Q3024240
Q46699	
Q46763	Q48336
Q46765	Q747074
Q46805	Q1792644 Q968159
Q46830	Q5
Q46841	Q4022
Q46857	
Q46941	Q747074
Q46942	Q13393265
Q46959	Q3109572
Q46961	Q12737077
Q46970	
Q47002	Q188509 Q45242174
Q47034	Q1549591 Q515 Q856076
Q47041	
Q47048	Q2264924 Q13539802 Q515 Q1549591 Q856076
Q47053	Q37813 Q60029820 Q55659167
Q47089	Q334823
Q47092	Q5801919
Q47097	Q1615742
Q47134	Q202435 Q6083725 Q33837 Q15060255 Q67376938 Q1350181 Q7309443
Q47146	
Q47149	Q5
Q47151	Q644371
Q47162	Q5
Q47163	Q5
Q47173	Q5
Q47182	Q476028
Q47243	Q5
Q47264	Q1549591 Q515
Q47273	Q4936952
Q47280	
Q47281	Q747074
Q47315	Q12737077 Q690109
Q47336	Q747074
Q47359	Q5381350
Q47369	Q1254773
Q47397	Q747074
Q47398	Q11862829
Q47417	Q4671286 Q11862829
Q47465	Q1549591 Q484170
Q47478	Q5
Q47488	Q1262438
Q47512	Q2698455 Q11173 Q12140 Q407595 Q189567 Q63434442 Q21009057 Q134856 Q35456
Q47526	Q5
Q47528	Q28816538
Q47577	Q2297602
Q47583	Q5
Q47589	Q5
Q47602	Q5
Q47604	Q9135 Q170434
Q47651	Q5
Q47652	Q23015914 Q11688446 Q205985
Q47680	Q179461 Q29154430
Q47683	Q5
Q47700	Q8514 Q1246061
Q47703	Q11424
Q47716	Q1093829 Q1549591
Q47722	Q16521
Q47740	Q4392985
Q47778	Q5
Q47853	Q747074
Q47891	Q186516
Q47904	Q5
Q47913	
Q47916	Q1637706 Q5119 Q1549591
Q47928	
Q47952	Q1549591 Q515
Q47967	Q6955655 Q48091
Q47995	Q747074
Q48026	Q6955655 Q48091
Q48039	Q747074
Q48047	Q5
Q48091	
Q48096	Q747074
Q48160	Q186516
Q48181	Q4164871
Q48183	Q10876391
Q48187	Q5
Q48196	
Q48215	Q1093829
Q48256	Q1549591 Q5123999 Q12134916
Q48263	Q56682555
Q48280	Q5
Q48296	
Q48298	
Q48314	Q178561
Q48320	Q1749269 Q65589340 Q515 Q1637706 Q1549591
Q48324	
Q48329	Q5119 Q3957 Q856076
Q48335	Q23442
Q48340	Q7892363 Q561068
Q48343	Q41710
Q48344	Q1637706 Q3184121 Q1549591 Q515
Q48356	
Q48362	Q17362054 Q15489667 Q13414953
Q48364	Q5
Q48409	Q186516
Q48457	Q747074
Q48461	Q26529
Q48493	Q7397 Q920890
Q48505	Q58045183 Q4830453
Q48544	Q5
Q48604	Q25956 Q26540
Q48685	Q182547 Q3024240 Q417175
Q48777	Q5398426
Q48803	Q4671286 Q11862829 Q268592
Q48821	Q1192221 Q194188 Q31855
Q48822	Q6881511 Q4830453
Q48848	Q755707
Q48881	Q6881511 Q4830453
Q48928	Q755707
Q48933	Q12178655
Q48939	Q476028
Q48958	Q484170
Q48971	Q5
Q49017	Q5
Q49019	Q5398426
Q49024	Q220505
Q49074	Q5
Q49108	Q1371037 Q23002054 Q3918
Q49111	Q1093829 Q1549591
Q49114	Q23002054 Q1188663 Q902104 Q15936437
Q49121	Q494230
Q49122	Q1321960 Q20820271
Q49143	Q1093829 Q515
Q49158	Q1093829 Q1549591
Q49162	Q1093829 Q1549591
Q49163	Q1093829
Q49164	Q2154459
Q49169	Q1093829 Q1549591
Q49179	Q1093829 Q1549591
Q49186	Q1093829 Q748198
Q49191	Q1093829 Q486972
Q49196	Q1093829
Q49202	Q15127012
Q49218	Q1093829 Q1549591
Q49219	Q1093829 Q1549591
Q49222	Q1266818
Q49225	Q1093829 Q1549591
Q49229	Q1093829 Q1549591
Q49233	Q1093829 Q1549591
Q49237	Q5
Q49240	Q1093829 Q1549591
Q49241	Q1093829 Q1549591
Q49243	Q1093829 Q1549591
Q49247	Q1093829 Q1549591
Q49255	Q1093829 Q1549591
Q49266	Q1093829 Q1549591
Q49272	Q1093829 Q1549591
Q49325	Q5
Q49326	Q3024240
Q49389	Q268592 Q627436 Q19595701
Q49447	Q151885
Q49448	Q5
Q49476	Q21114371
Q49496	Q5
Q49542	Q41710 Q2472587
Q49546	Q11173 Q221696 Q27949284 Q902638 Q65988187 Q746183 Q170744 Q21009055 Q174211
Q49552	Q5
Q49637	Q5
Q49683	Q165116 Q3024240 Q3624078
Q49686	Q5
Q49718	Q4167410
Q49740	Q7889 Q170584
Q49744	Q5
Q49746	Q5
Q49757	Q28640
Q49760	Q5
Q49765	Q5
Q49819	Q5 Q20623701
Q49831	Q484170
Q49845	Q268592
Q49907	Q14073567
Q49961	Q5
Q49971	Q5
Q50002	Q5
Q50005	Q5
Q50015	Q23002054 Q3918
Q50020	Q5
Q50077	Q4117406 Q2378
Q50119	Q747074
Q50192	Q15634846
Q50609	Q5
Q50615	Q83640434 Q192299
Q50617	Q83640434 Q192299
Q50618	Q83640434 Q192299
Q50625	Q83640434 Q192299
Q50637	Q4671286 Q17524420 Q11862829 Q81517619
Q50641	Q17524420
Q50656	Q5
Q50719	Q1339195 Q928830 Q55488
Q50811	Q16295254 Q14762890
Q50816	Q1549591 Q515 Q15210668
Q50868	Q436240 Q34049 Q45762
Q50948	Q7725634
Q50956	Q1344
Q51103	Q1637706 Q1549591 Q2555896 Q515
Q51107	Q5
Q51112	Q597052
Q51177	Q120560 Q16970
Q51290	
Q51490	Q5
Q51513	Q5
Q51515	Q5
Q51597	Q210847
Q51614	Q17362920 Q34763 Q1620908 Q1496967
Q51617	
Q51654	Q1827102
Q51656	Q1827102
Q51662	Q12546
Q51664	Q235157 Q4260004 Q18563360 Q15845855 Q4306757 Q168827
Q51670	Q179461 Q29154430
Q51675	Q179461 Q29154430
Q51684	Q15127012
Q51690	Q1093829 Q1549591
Q51707	Q93249
Q51712	Q7397 Q1266169
Q51713	Q7397
Q51828	Q747074
Q52062	Q15646667
Q52105	
Q52106	Q4671286 Q19935939
Q52107	Q11862829 Q19935939
Q52109	Q87058424 Q19935939
Q52139	Q1665984
Q52224	Q5
Q52254	Q5
Q52261	Q70208
Q52266	Q70208
Q52337	Q747074
Q52371	Q21506450
Q52474	Q1093829
Q52502	Q127448
Q52531	Q16970 Q693842
Q52535	Q1637706 Q1549591 Q15284 Q515
Q52607	Q1549591 Q5770918
Q52618	Q2401749
Q52626	Q23442
Q52631	Q570116 Q486972 Q23442
Q52636	Q56061 Q23442
Q52680	Q5
Q52698	Q70208
Q52843	Q11122
Q52922	Q5
Q52926	Q5
Q52933	Q5
Q52948	
Q52999	Q3957 Q15210668
Q53018	Q5
Q53040	Q5
Q53043	Q5
Q53045	Q5
Q53079	Q15149663
Q53093	Q581714
Q53097	Q4830453
Q53109	Q5
Q53121	
Q53140	Q747074
Q53203	Q3685476
Q53257	Q6881511 Q4830453
Q53268	Q17412622 Q786820 Q6881511 Q4830453
Q53294	Q5
Q53381	Q747074
Q53448	Q5
Q53464	Q10876391
Q53484	Q4022
Q53592	Q7725634
Q53620	Q5
Q53668	Q215380
Q53692	Q645883
Q53707	Q5
Q53713	Q5
Q54060	Q5
Q54136	Q1093829
Q54138	Q1093829
Q54140	Q1093829
Q54155	Q150093
Q54169	Q150093
Q54188	Q150093
Q54212	Q3957
Q54237	Q163214
Q54393	
Q54440	Q13414753
Q54441	Q13414753
Q54451	Q1339195 Q55488
Q54495	Q7814330 Q5592057 Q12042110 Q38048707 Q6636777
Q54801	Q7278
Q54880	Q1637706 Q1549591 Q515
Q54900	Q13393265
Q54922	Q13393265
Q54925	Q162620
Q54929	Q162620
Q54939	Q162620
Q54979	Q11424
Q55088	Q23901114 Q902814 Q55116
Q55095	Q23901114 Q55116
Q55102	Q902814 Q55116
Q55146	Q220505
Q55180	Q162620
Q55193	Q5
Q55210	Q5
Q55238	Q5
Q55241	Q21079854 Q93352
Q55264	Q5
Q55405	Q5
Q55407	Q5
Q55418	Q5
Q55453	Q5
Q55502	Q190967 Q3024240
Q55636	Q5
Q55692	Q756230
Q55741	Q29946056
Q55772	Q5
Q55834	Q5
Q55933	Q5
Q55955	Q5
Q56003	Q22811234
Q56011	Q5
Q56022	Q294414
Q56045	Q47461344 Q7755
Q56152	Q13414757
Q56189	Q5
Q56228	Q5
Q56429	Q33384
Q56488	Q33384
Q56546	Q34770 Q1288568
Q56942	Q56682555
Q57052	Q1615742
Q57063	Q5
Q57066	Q5
Q57068	Q5
Q57075	Q5
Q57081	Q755707
Q57089	Q5
Q57106	Q5
Q57111	Q70208
Q57128	Q5
Q57145	Q5
Q57146	Q5
Q57147	Q5
Q57164	Q5
Q57182	Q5
Q57212	Q5
Q57239	Q5
Q57244	Q5
Q57246	Q5
Q57261	Q5
Q57275	Q5
Q57278	Q1549591 Q515
Q57286	Q5
Q57306	Q5
Q57314	Q5
Q57325	Q1093829
Q57332	Q5
Q57336	Q5
Q57360	Q5
Q57386	Q5
Q57430	Q5
Q57432	Q5
Q57449	Q5
Q57481	Q5
Q57566	Q5
Q57592	Q5
Q57601	Q5
Q57613	Q5
Q57652	Q5
Q57660	Q5
Q57674	Q5
Q57686	Q5
Q57760	Q5
Q57784	Q5
Q57798	Q5
Q57803	Q23413 Q19860854
Q57806	Q5
Q57821	
Q57863	Q5
Q57864	Q755707
Q57865	Q755707
Q57871	Q755707
Q57881	Q42744322 Q820254
Q57912	Q755707
Q57932	Q5
Q57952	Q5
Q57963	Q5
Q57999	Q5
Q58031	Q5
Q58057	Q5
Q58068	Q5
Q58144	Q2462003
Q58184	Q4936952
Q58195	Q5
Q58217	Q5
Q58255	Q10876391
Q58267	Q5
Q58290	Q5
Q58329	Q187432
Q58339	Q188451
Q58378	Q18109
Q58381	Q215380
Q58419	Q208569
Q58508	Q2462003
Q58559	Q5
Q58573	Q5
Q58586	Q5
Q58597	Q39594 Q31615
Q58632	Q5
Q58635	Q34770 Q1288568
Q58683	Q13217186
Q58686	Q13217186
Q58688	Q13217186
Q58711	Q13217186
Q58731	Q15149663
Q58734	
Q58738	Q1075404 Q15634554 Q3024240
Q58759	Q13217186
Q58777	Q5
Q58810	Q5
Q58813	Q5
Q58900	Q1549591 Q3957
Q58908	
Q58917	
Q58940	Q70208 Q532 Q685309
Q58976	Q15284 Q56061
Q59091	Q127448
Q59114	Q902104 Q23002042
Q59134	
Q59179	Q786820
Q59186	Q83405 Q21980538 Q4830453
Q59223	Q1637706 Q1549591 Q748149 Q9383952
Q59227	Q1637706 Q1549591 Q748149
Q59447	Q47154513
Q59495	Q11424
Q59532	
Q59670	Q1093829 Q1549591
Q59714	Q11173
Q59778	Q2325038 Q7970362
Q59819	Q3957
Q59904	Q5
Q59965	Q215380
Q60024	Q5
Q60025	Q5
Q60026	Q5
Q60040	Q5
Q60052	Q5
Q60059	Q5
Q60095	Q5
Q60123	Q15149663
Q60130	Q15149663
Q60149	Q186516
Q60158	Q15149663
Q60168	Q11173 Q12140
Q60178	Q5
Q60195	Q4671286 Q11862829
Q60220	Q37484
Q60235	Q11173 Q12140 Q8386
Q60259	Q5
Q60317	Q5
Q60351	Q5
Q60397	Q5
Q60554	Q5
Q60619	Q5
Q60677	Q5
Q60698	Q5
Q60700	Q5
Q60735	Q5
Q60751	Q5
Q60801	Q5
Q60858	Q5
Q60861	Q5
Q60866	Q5
Q60889	Q5
Q60912	Q5
Q60938	Q5
Q60957	Q5
Q60974	Q4022
Q60992	Q5
Q61037	Q5
Q61040	Q5
Q61042	Q11774062
Q61043	Q5
Q61056	Q5
Q61067	Q5
Q61085	Q5
Q61138	Q11774062
Q61153	Q11774062
Q61205	Q5
Q61218	Q5
Q61223	Q5
Q61332	Q5
Q61342	Q5
Q61396	Q1248784
Q61411	Q5
Q61412	Q5
Q61414	Q11774062
Q61428	Q5
Q61457	Q11173 Q21009053 Q21074597 Q101497 Q187661 Q174211
Q61463	Q5
Q61468	Q11774062
Q61504	Q71266741
Q61520	Q5
Q61620	Q5
Q61686	Q5
Q61690	Q5
Q61732	Q5
Q61748	Q5
Q61753	Q5
Q61759	Q5
Q61896	Q5
Q61917	Q5
Q61962	Q5
Q61965	Q5
Q61970	Q5
Q61975	Q5
Q61987	Q5
Q61994	Q5
Q62133	Q5
Q62137	Q5
Q62164	Q5
Q62206	Q5
Q62246	
Q62272	Q7366 Q134556
Q62288	Q4830453
Q62304	Q5
Q62313	Q5
Q62331	Q5
Q62357	Q5
Q62409	Q5
Q62455	Q5
Q62534	Q5
Q62547	Q5
Q62589	Q188800
Q62633	Q671370 Q165116 Q19953632
Q62698	Q5
Q62748	Q5
Q62751	Q5
Q62825	Q1620908
Q62832	
Q62858	Q5
Q62879	Q47461344
Q62890	Q5
Q62897	Q5
Q62928	Q3117863
Q62933	Q5
Q62943	Q48349 Q164950
Q62961	Q5
Q62992	Q5
Q63040	Q5
Q63111	Q5
Q63138	Q5
Q63179	Q5
Q63206	Q5
Q63230	Q5
Q63408	Q5
Q63413	Q5
Q63421	Q5
Q63461	Q5
Q63505	Q5
Q63520	Q1254933
Q63591	Q958314
Q63618	Q5
Q63659	Q5
Q63729	Q13410403
Q63734	Q9135
Q63739	Q5
Q63762	Q5
Q63763	Q24764
Q63766	Q5
Q63817	Q46831
Q63939	Q70208 Q54935504
Q63946	Q70208 Q54935504
Q63979	Q70208 Q54935504
Q64001	Q5
Q64027	Q70208 Q54935504
Q64044	Q70208 Q14770218 Q54935504
Q64049	Q5
Q64070	Q70208 Q54935504
Q64093	Q70208 Q54935504
Q64099	Q70208 Q54935504
Q64108	Q70208
Q64112	Q21480300
Q64129	Q5
Q64131	Q70208
Q64164	Q5
Q64347	Q70208
Q64390	Q5
Q64404	Q5
Q64418	Q4793045 Q15142889
Q64436	Q570116 Q143912
Q64544	Q5
Q64545	Q6881511 Q4830453
Q64556	Q5
Q64718	Q5
Q64782	Q5
Q64783	Q5
Q65010	Q5
Q65048	Q5
Q65053	Q5
Q65082	Q5
Q65153	Q5
Q65193	Q70208
Q65201	Q5
Q65226	Q5
Q65239	Q5
Q65248	Q5
Q65276	Q5
Q65414	Q5
Q65428	Q5
Q65505	Q5
Q65515	Q5
Q65610	Q5
Q65644	Q5
Q65780	Q5
Q65822	Q5
Q65854	Q70208
Q65860	Q5
Q65917	Q5
Q65943	
Q65955	Q403523 Q392928
Q65989	Q5
Q66008	Q5
Q66025	Q5
Q66039	Q5
Q66055	
Q66107	Q5
Q66117	Q15149663
Q66123	Q5
Q66133	Q5
Q66190	Q5
Q66212	Q5
Q66292	Q5
Q66369	Q5
Q66379	Q5
Q66411	Q70208
Q66471	Q70208
Q66485	Q1637706 Q5119 Q1549591
Q66568	Q1637706 Q1549591 Q515
Q66608	Q5
Q66615	Q5
Q66616	Q1637706 Q1549591 Q515
Q66625	Q5
Q66710	Q467745
Q66944	Q5
Q66960	Q5
Q67005	Q5
Q67013	Q5
Q67113	Q5
Q67169	Q5
Q67203	Q70208
Q67208	Q5
Q67250	Q5
Q67270	Q70208
Q67314	Q5
Q67407	Q5
Q67470	Q70208
Q67477	Q5
Q67523	Q70208
Q67575	Q5
Q67612	Q5
Q67758	Q5
Q67864	Q70208
Q67879	Q5
Q67901	Q5
Q67963	Q5
Q68064	Q5
Q68076	Q70208
Q68093	Q5
Q68111	Q70208 Q902814 Q54935504
Q68124	Q70208 Q54935504
Q68160	Q70208 Q54935504
Q68185	Q70208
Q68210	Q70208 Q54935504
Q68213	Q70208
Q68230	Q70208 Q902814 Q54935504
Q68256	Q70208
Q68305	Q70208 Q54935504
Q68316	Q5
Q68336	Q70208
Q68385	Q902814 Q486972 Q17001376
Q68387	Q70208
Q68503	Q5
Q68584	Q5
Q68587	Q70208
Q68676	
Q68713	Q70208
Q68740	Q1161185
Q68799	Q70208
Q68801	Q70208 Q685309
Q68851	Q5
Q68947	Q427626 Q3100180 Q13578154
Q68969	Q198
Q68972	Q70208 Q14770218 Q54935504 Q5119
Q69037	Q70208
Q69041	Q70208 Q1187811 Q54935504
Q69111	Q70208 Q902814
Q69127	Q5
Q69149	Q5
Q69245	Q70208
Q69257	Q5
Q69339	Q5
Q69364	Q70208 Q54935504
Q69379	Q5
Q69401	Q70208 Q54935504
Q69414	Q5
Q69484	Q70208 Q54935504
Q69485	Q5
Q69488	Q903338 Q11173 Q211036 Q3706669
Q69520	Q70208
Q69525	Q70208 Q54935504
Q69587	Q70208
Q69673	Q70208
Q69676	Q5
Q69682	Q70208 Q56061 Q54935504
Q69690	Q70208 Q54935504
Q69697	Q70208
Q69706	Q70208
Q69714	Q70208 Q902814 Q54935504
Q69738	Q70208 Q54935504
Q69745	Q70208 Q54935504
Q69757	Q70208 Q54935504
Q69765	Q70208 Q54935504
Q69770	Q5
Q69790	Q70208
Q69802	Q70208
Q69808	Q208164 Q3024240 Q5589178
Q69870	Q5
Q69962	Q5
Q69995	Q70208
Q70030	Q70208
Q70056	Q5
Q70069	Q11424
Q70102	Q5
Q70202	Q70208
Q70209	Q5
Q70232	Q70208
Q70326	Q5
Q70328	Q70208
Q70330	Q70208 Q685309
Q70419	Q5
Q70462	Q5
Q70581	Q5
Q70612	
Q70764	Q5
Q70773	Q5
Q70792	Q5
Q70835	Q5
Q70888	Q5
Q70898	Q5
Q70900	Q5
Q70972	Q20181813 Q3024240 Q417175 Q3624078
Q70992	Q5
Q71003	Q5
Q71031	Q5
Q71032	Q5
Q71069	Q5
Q71074	Q5
Q71092	Q5589178 Q3024240
Q71112	Q5
Q71243	Q5
Q71250	Q5
Q71491	Q5
Q71493	Q2462003 Q218616
Q71529	Q5
Q71532	Q5
Q71694	Q2462003 Q7397
Q71724	Q484170
Q71827	Q5
Q71848	Q5
Q71903	Q5
Q71969	Q11173 Q12140
Q71996	Q4022
Q72030	Q747074
Q72120	Q5
Q72129	Q5
Q72176	Q16970 Q781549
Q72183	Q5
Q72205	Q5
Q72221	Q747074
Q72248	Q484170 Q515
Q72258	Q747074
Q72259	Q1549591 Q515
Q72295	Q5
Q72325	Q11424
Q72425	Q747074
Q72467	Q5
Q72720	Q5
Q72756	Q5
Q72790	Q5
Q72813	Q11042
Q72984	Q5
Q73000	Q5
Q73012	Q5
Q73048	Q5
Q73086	Q5
Q73169	Q34763
Q73172	Q5
Q73205	Q5
Q73361	Q5
Q73473	Q5
Q73498	Q5
Q73509	Q1393724
Q73591	Q5
Q73801	Q210167 Q658255
Q73887	Q5
Q73973	Q5
Q74128	Q5
Q74259	Q46831
Q74715	Q5
Q74849	Q5
Q74924	Q5
Q74936	Q5
Q75248	Q1002697
Q75350	Q5
Q75520	
Q75613	Q164950 Q3024240
Q75807	Q5
Q75845	Q5
Q75855	Q1620186
Q75856	Q5
Q75866	Q5
Q75886	Q5
Q75891	Q5
Q76048	Q1371288 Q3024240
Q76127	Q5
Q76161	Q5
Q76167	Q5
Q76185	Q5
Q76264	Q5
Q76269	Q644371
Q76302	Q5
Q76365	Q5
Q76421	Q2223653
Q76425	Q5
Q76428	Q5
Q76442	Q5
Q76448	Q5
Q76465	Q5
Q76473	Q875538 Q5420001 Q38723 Q15936437
Q76474	Q5
Q76483	Q5
Q76485	Q5
Q76490	Q5
Q76514	Q5
Q76519	Q5
Q76539	Q5
Q76579	Q5
Q76582	Q11424
Q76606	Q5
Q76730	Q5
Q76747	Q5
Q76753	Q5
Q76766	Q5
Q76844	Q5
Q76857	Q5
Q76872	
Q76876	Q5
Q76889	Q5
Q76904	Q79529 Q21009057 Q169336
Q76924	Q5
Q76978	Q5
Q77033	Q5
Q77060	Q5
Q77073	Q5
Q77074	Q5
Q77079	Q5
Q77081	Q5
Q77106	Q5
Q77120	Q123991
Q77177	Q5
Q77183	Q5
Q77202	Q6881511 Q4830453
Q77222	Q5
Q77242	Q5
Q77253	Q5
Q77260	Q5
Q77274	Q5
Q77288	Q5
Q77322	Q5
Q77390	Q5
Q77394	Q5
Q77444	Q5
Q77460	Q5
Q77468	Q5
Q77469	Q5
Q77502	Q5
Q77507	Q5
Q77517	Q5
Q77525	Q5
Q77569	Q5
Q77655	Q5
Q77659	Q5
Q77746	Q1149652
Q77780	Q5
Q77869	Q5
Q77882	Q5
Q77901	Q5
Q78296	Q5
Q78351	Q5
Q78434	Q5
