Q15	Q5107
Q116917	Q5
Q116922	Q5
Q116948	Q747074
Q116953	Q5
Q116960	Q5
Q116961	Q747074
Q116993	Q5
Q117004	Q35509
Q117012	Q5
Q117064	Q5
Q117091	Q127448
Q117096	Q5
Q117110	Q5
Q117144	Q5
Q117198	Q747074
Q117270	Q5
Q117286	Q270791
Q117305	Q5
Q117315	Q11424
Q117319	Q747074
Q117341	Q5
Q117354	Q747074
Q117374	Q5
Q117395	Q747074
Q117404	Q747074
Q117467	Q414147 Q1966910
Q117486	Q5
Q117507	Q4830453
Q117552	Q5
Q117553	Q65943
Q117625	Q515
Q117649	Q2001305 Q1254874
Q117650	Q5
Q117669	Q215380
Q117676	Q15647906 Q13217644
Q117725	Q240795 Q341
Q117728	Q127448
Q117758	Q186516
Q117761	Q5
Q117876	Q23002054 Q45400320 Q3918
Q117941	Q5
Q118097	Q5
Q118350	Q33837
Q118527	Q5
Q118532	
Q118548	Q5
Q118630	Q31615
Q118733	Q5
Q118771	Q4022
Q118806	Q31615 Q39594
Q118942	Q5
Q118950	Q5
Q118958	Q15273785 Q493522 Q1549591
Q118966	Q215380
Q118999	Q4830453
Q119206	Q46831 Q1061151
Q119214	Q339353 Q15911738
Q119322	Q6979593
Q119372	Q11774149
Q119465	Q5
Q119515	Q15104814 Q3089219 Q12413618 Q133346
Q119599	Q5
Q119670	Q5
Q119845	Q17468533 Q856076
Q119992	Q5
Q120080	Q13410524
Q120120	Q50002046
Q120122	Q5
Q120247	Q5
Q120381	Q5
Q120382	Q5
Q120397	Q5
Q120399	Q747074
Q120411	Q5
Q120465	Q5
Q120493	Q8502
Q120510	Q5
Q120564	Q5
Q120578	Q5
Q120649	Q15229207
Q120730	Q50337
Q120850	Q5
Q120980	Q5
Q121002	Q5
Q121140	Q5
Q121157	Q1637706 Q1549591 Q56557504
Q121176	Q30109942
Q121194	Q47913
Q121233	Q215655
Q121235	Q5
Q121241	Q5
Q121318	Q27020041
Q121339	Q18608583 Q27020041
Q121350	Q5
Q121378	Q23442
Q121444	Q5
Q121698	Q18127
Q122006	Q5
Q122037	Q3231690 Q850270
Q122173	Q9134
Q122187	Q5
Q122224	
Q122232	Q5
Q122236	Q5
Q122248	Q23015925
Q122275	Q5
Q122279	Q5
Q122290	Q5
Q122328	Q5
Q122331	Q5
Q122366	Q5
Q122370	Q5
Q122377	Q5
Q122416	Q5
Q122450	Q5
Q122453	Q45400320 Q875538
Q122462	Q186516 Q2067046
Q122553	Q5
Q122563	Q62049 Q1093829 Q15221310
Q122610	Q5
Q122614	Q5
Q122653	
Q122723	Q50337
Q122741	Q210167 Q4830453 Q1137109 Q6881511
Q122775	Q5
Q122892	Q2755753
Q122909	Q2755753 Q674950
Q123018	Q210167
Q123022	Q5
Q123024	Q2755753
Q123028	Q930752 Q11862829
Q123062	Q5
Q123067	Q76514543 Q1093829
Q123069	Q21480300
Q123258	Q50337
Q123304	Q215655
Q123306	Q2755753
Q123376	Q50337
Q123409	Q5
Q123507	Q5
Q123510	Q5
Q123565	Q5
Q123585	Q7278
Q123607	Q747074
Q123624	Q34442 Q2755753
Q123634	Q2755753 Q3957
Q123637	Q11862829 Q1936384
Q123669	Q747074
Q123702	Q5
Q123709	Q515 Q202435 Q1549591
Q123737	Q1407225
Q123741	Q2755753
Q123766	Q1266818
Q123779	Q5
Q123885	Q955824 Q45400320 Q414147 Q2085381 Q1966910
Q123941	Q747074
Q123947	Q2755753 Q5162904
Q123981	Q747074
Q123984	Q5
Q123992	Q5
Q124029	Q747074
Q124072	Q15142889
Q124075	Q5
Q124081	Q5
Q124115	Q5
Q124139	Q747074
Q124255	
Q124256	Q747074
Q124257	Q5
Q124294	Q5
Q124304	Q11303 Q18142
Q124308	Q2755753
Q124377	Q2755753 Q738570
Q124432	Q5
Q124459	Q641066
Q124462	Q5
Q124539	Q2755753 Q3957
Q124588	Q5
Q124597	Q484170
Q124617	Q5
Q124739	Q515
Q124771	Q5
Q124799	Q28122896 Q26742250
Q124843	Q5
Q124890	Q5
Q124925	Q747074
Q124979	Q747074
Q125065	Q5
Q125080	Q515 Q856076
Q125121	Q5
Q125128	Q5
Q125149	Q4830453
Q125163	Q2755753
Q125414	Q5
Q125482	Q63187345 Q4164871 Q216353 Q355567 Q3320743
Q125637	Q5
Q125644	Q5
Q125652	Q134626 Q42744322 Q448801
Q125658	Q2485448
Q125659	Q5
Q125704	Q5
Q125863	Q50337
Q125905	Q3957
Q125908	Q740752
Q125943	Q740752
Q125947	Q447523
Q125968	Q8502
Q125976	Q5
Q125977	
Q125984	Q5
Q126039	Q1542343
Q126128	Q215380
Q126137	Q5
Q126148	Q515 Q1549591
Q126209	Q5
Q126269	Q515 Q1549591
Q126291	Q32096
Q126321	Q262882 Q3957
Q126399	Q1762059 Q18127 Q1107679
Q126427	Q13626398
Q126514	Q15060255 Q2138167
Q126624	Q15219391 Q2089229 Q17366755 Q6644696 Q28656402
Q126638	Q29592127 Q11422536
Q126656	Q5
Q126660	Q5
Q126711	Q5
Q126898	Q515 Q484170
Q127041	Q515 Q1549591
Q127043	Q134626 Q562061 Q1815926 Q262166
Q127063	Q515 Q1147395 Q15284 Q1549591
Q127112	Q5
Q127117	Q60849925 Q13626398
Q127135	Q215380
Q127167	Q191093
Q127184	Q12178928
Q127193	Q4830453
Q127211	Q5
Q127226	Q5
Q127254	Q5
Q127264	Q50337
Q127296	Q186516
Q127316	Q46970
Q127330	Q5
Q127349	Q5
Q127367	Q11424
Q127388	
Q127408	Q865422
Q127481	Q5
Q127506	Q1093829
Q127513	Q50337
Q127552	Q4830453 Q1107679 Q1762059
Q127623	Q856076 Q515 Q10571400 Q1549591
Q127700	Q3558970
Q127727	Q10648343
Q127743	Q327333 Q127910
Q127779	Q5
Q127850	Q208569
Q127856	Q1093829
Q127865	Q46122855
Q127900	Q902638 Q11173
Q127911	Q5
Q127944	Q5
Q127959	Q5
Q127970	Q13410403
Q127984	Q5
Q127989	Q5
Q127990	Q875538
Q127992	Q1110684 Q45400320 Q748019 Q2085381
Q128028	Q7366 Q207628
Q128075	Q13410403
Q128086	Q747074
Q128089	Q747074
Q128109	Q13393265
Q128115	Q968159 Q1792379
Q128124	Q28640
Q128137	Q13410411
Q128140	
Q128147	Q515 Q1549591
Q128148	Q476028
Q128186	Q50337
Q128196	Q50337
Q128245	Q5
Q128267	Q20643955
Q128282	Q1093829 Q1549591
Q128285	Q9134 Q24444087
Q128286	Q14406742
Q128295	Q1093829 Q1549591
Q128306	Q1093829 Q1549591
Q128309	
Q128317	Q484170
Q128321	Q62049 Q1093829 Q1549591
Q128399	Q5
Q128406	Q930752 Q7180763 Q28598684 Q11862829
Q128446	Q476028
Q128452	Q14623646 Q14514600 Q1004
Q128460	Q5
Q128468	Q1154710
Q128480	Q186516
Q128494	Q5
Q128499	Q7930989 Q486972
Q128553	Q5
Q128563	Q5
Q128570	Q28598684
Q128633	Q5
Q128674	Q902814 Q1070990 Q1549591
Q128683	
Q128686	Q5
Q128758	Q223393 Q1792379
Q128781	Q772547
Q128808	Q928830
Q128812	Q14660
Q128820	Q5
Q128849	Q515 Q1137833 Q1549591 Q65589340
Q128891	Q1093829 Q1549591
Q128938	Q836688 Q12857432
Q128956	Q5
Q128979	
Q128985	Q5
Q128995	Q5
Q129006	Q5
Q129051	Q11424
Q129068	Q11424
Q129110	Q15265344
Q129154	Q2008856
Q129206	Q5
Q129237	Q985073
Q129257	Q5
Q129277	Q7889
Q129337	Q167270 Q13402959 Q811704 Q16858238 Q15141321
Q129372	
Q129516	Q414147 Q484652
Q129560	Q5
Q129590	Q208569
Q129610	Q515 Q13455645
Q129718	Q5
Q129741	Q5
Q129762	Q1402592
Q129850	Q25295
Q129857	Q5
Q129880	Q5
Q129901	Q5
Q129905	Q498162 Q17343829
Q129916	Q5
Q130008	Q13410508
Q130105	Q3558970 Q486972
Q130169	Q5
Q130191	Q515 Q1357964 Q1549591
Q130272	Q484170
Q130280	Q208164 Q3024240 Q236036 Q3624078
Q130308	Q50337
Q130309	Q4830453 Q6881511
Q130336	Q407142 Q11173 Q21073024 Q12140
Q130373	Q14978
Q130458	Q186516
Q130521	Q476028
Q130574	Q33837
Q130576	Q654140
Q130582	Q6979593
Q130601	Q5
Q130622	Q532 Q1852859
Q130625	Q654140
Q130734	Q5
Q130760	Q11019
Q130765	Q7278
Q130800	Q84598477
Q130809	Q15265344
Q130822	Q5
Q130826	Q134556 Q7366
Q130840	Q191093
Q130857	Q66715801 Q12737077
Q130866	Q5009242
Q130917	Q5
Q130965	Q23002054 Q3918
Q130981	Q23002054 Q19844914 Q189004
Q130994	Q484170
Q131013	Q839954 Q131668 Q9259 Q570116
Q131036	Q477544
Q131071	Q4022
Q131075	Q27020041
Q131083	Q10864048 Q137413 Q161243 Q933394
Q131089	Q4671286 Q11862829
Q131095	Q215495 Q179461 Q29154430
Q131112	Q5
Q131127	Q57315116 Q515 Q1549591
Q131128	Q515 Q667509 Q13539802
Q131135	Q1421259 Q24335595 Q24334976
Q131138	Q223393
Q131159	Q5
Q131168	
Q131172	
Q131186	Q20202269
Q131198	Q33837 Q11687019 Q38048753
Q131206	Q4498974
Q131209	Q476028
Q131215	Q476028
Q131231	Q56816954
Q131239	Q27020041
Q131252	Q23002054 Q902104 Q15936437
Q131262	Q45400320 Q875538
Q131263	
Q131272	Q188451
Q131277	Q50337
Q131281	Q50337
Q131287	Q50337
Q131290	Q56557664 Q1549591
Q131301	Q755017 Q1549591
Q131323	Q2264924 Q515 Q17001376 Q1549591
Q131327	Q1920219 Q813912
Q131329	Q484170
Q131335	Q62049 Q1093829 Q1549591
Q131337	Q7270 Q3024240 Q56061 Q236036
Q131358	Q50337
Q131359	Q31629
Q131371	Q13393265
Q131378	Q476028
Q131419	
Q131425	Q188451
Q131438	Q202156
Q131439	Q1616075
Q131454	Q53251146 Q22806 Q11422631
Q131476	Q4671286 Q1936384 Q11862829
Q131491	Q3957 Q1549591
Q131499	Q476028 Q20639856
Q131512	Q12737077 Q28640
Q131520	Q19020
Q131566	Q955824 Q45400320 Q1328899 Q2085381 Q1391517
Q131569	
Q131578	Q188451
Q131587	Q5
Q131591	Q27020041
Q131626	Q178706 Q4830453
Q131662	Q3957
Q131669	
Q131681	
Q131683	Q28598684
Q131691	Q5
Q131692	Q7278
Q131694	Q515 Q486972 Q3024240 Q1549591
Q131704	Q161928
Q131706	Q5
Q131731	
Q131734	
Q131767	Q12737077 Q2285706 Q56019
Q131785	Q6979593
Q131814	Q5
Q131818	Q515 Q2989398 Q1549591
Q131981	Q5
Q131987	Q5
Q132020	Q56682555
Q132050	Q294414 Q12737077 Q828803
Q132065	Q5
Q132071	Q5
Q132082	Q5
Q132095	Q5
Q132116	Q1047113
Q132137	
Q132151	
Q132224	Q194203
Q132265	Q13414953
Q132298	Q3143826 Q11173 Q1041116 Q189567
Q132311	Q20076756
Q132336	Q5
Q132345	Q5
Q132348	Q17379685
Q132377	Q18608583 Q1344963
Q132404	Q484170
Q132418	Q191093
Q132438	Q188451
Q132450	Q5
Q132493	Q55102916
Q132515	Q27020041
Q132518	Q207320 Q176799
Q132529	Q27020041
Q132533	Q27020041
Q132551	Q15285626
Q132568	Q178561
Q132569	Q23038290
Q132572	Q7930989 Q1963041 Q1549591
Q132637	Q48336
Q132659	Q8192
Q132664	Q27020041
Q132679	Q515 Q5119 Q1549591
Q132720	Q50337
Q132751	Q50337
Q132754	Q515 Q1549591
Q132781	
Q132783	Q28737012 Q207694 Q570116
Q132790	Q484170
Q132821	
Q132830	Q2264924 Q1637706 Q1549591
Q132832	Q7930989
Q132845	Q5
Q132880	Q13393265
Q132893	Q13393265
Q132920	Q3863
Q132929	Q50337
Q132936	Q50337
Q132945	Q1344695
Q132974	Q7930989
Q132997	Q3184121 Q5119 Q1549591
Q133010	Q7930989 Q192287
Q133022	
Q133054	Q5
Q133056	
Q133060	Q5
Q133063	Q5
Q133073	Q515 Q2881272 Q1549591
Q133083	Q191093
Q133093	Q211450 Q7930989
Q133116	Q515 Q14762300 Q1549591
Q133123	Q515 Q1549591
Q133132	Q43229 Q1323212 Q1388421 Q3533467 Q188055
Q133153	Q15087423
Q133163	Q1254773
Q133202	Q247073
Q133274	Q570116 Q263274 Q16831714 Q15243209
Q133311	
Q133315	Q515
Q133356	Q179164 Q3024240 Q236036 Q3624078
Q133386	Q5
Q133405	Q58603552 Q215380
Q133445	Q1137109
Q133482	
Q133485	Q3320743 Q63187384
Q133566	Q1154710
Q133574	Q5
Q133606	Q25653
Q133704	Q5
Q133738	Q403523 Q392928
Q133769	Q493522
Q133823	Q12136
Q133869	Q5
Q133871	
Q133924	Q50337
Q133935	Q50337
Q133943	Q5398426
Q134161	Q1269299
Q134165	Q5
Q134194	Q1231896
Q134202	Q27020041
Q134219	Q47154513
Q134228	Q1344695
Q134237	Q47279819
Q134241	Q476028
Q134283	Q16521
Q134291	Q515 Q2716259 Q1637706 Q1549591
Q134315	Q7930989 Q192287
Q134388	Q11688446 Q24284226 Q7805266
Q134396	Q7930989 Q192287
Q134411	Q1344695
Q134413	Q48336
Q134433	Q7930989 Q192287
Q134479	Q6979593
Q134506	Q7930989
Q134512	Q7930989 Q192287
Q134514	Q2264924 Q1549591
Q134541	Q215380
Q134575	Q5
Q134635	Q1749269 Q1637706 Q65589340
Q134646	Q5
Q134667	Q7930989
Q134672	Q515 Q1357964 Q1549591
Q134674	Q484170
Q134675	Q856076
Q134680	Q194203
Q134685	Q856076
Q134698	Q484170
Q134707	Q7930989
Q134750	Q4022
Q134752	Q7930989
Q134817	Q5
Q134856	Q47154513
Q134885	Q186516
Q134907	Q191093
Q134916	Q6979593
Q134925	Q6979593
Q134969	Q5741069
Q134982	Q5
Q135151	Q5
Q135154	Q5
Q135165	Q47461344
Q135171	Q5
Q135175	Q16521
Q135245	Q5398426
Q135615	Q1093829 Q1549591
Q135640	Q5
Q135686	Q7930989 Q486972
Q135784	Q5
Q135934	Q3863
Q135956	Q1192819
Q136046	Q968159 Q4502119
Q136217	Q515 Q15284 Q1549591
Q136224	Q3231690
Q136400	Q3863
Q136426	Q1389604
Q136485	Q18127
Q136538	Q1254874
Q136684	Q5
Q136696	Q11448906
Q136747	Q5
Q136886	Q816321
Q137023	Q726870 Q76213285
Q137076	Q55488
Q137106	Q5
Q137163	Q2074737
Q137254	Q15078955
Q137271	Q515 Q34986717 Q1549591
Q137351	
Q137384	Q484170 Q21869758
Q137534	Q5
Q137535	
Q137544	Q13473501
Q137555	Q82794
Q137616	Q3863
Q137758	Q5741069
Q137773	Q15617994 Q13406463
Q137866	Q3863
Q138075	Q5
Q138089	Q13393265
Q138097	Q208569
Q138133	Q4830453 Q6881511
Q138156	Q5
Q138198	Q6065085
Q138338	Q2974552 Q62049
Q138345	Q7278
Q138458	Q2974552
Q138515	Q3238445 Q23929070
Q138522	Q5
Q138558	Q5
Q138578	Q2974552
Q138596	Q65943
Q138628	Q19314966
Q138651	Q5
Q138687	Q3863
Q138755	Q11755959 Q11303
Q138767	Q5
Q138775	Q161837
Q138901	Q1093829
Q138948	Q133056
Q139024	Q56557504
Q139055	Q5
Q139067	Q5
Q139106	Q11177771
Q139190	Q27676416 Q1549591
Q139200	Q139660 Q11173 Q35456 Q12140
Q139211	Q5
Q139223	Q5
Q139251	Q1049494
Q139319	Q3024240 Q3624078
Q139398	Q27676416 Q1549591
Q139522	Q5
Q139592	Q5
Q139601	Q5
Q139626	Q654140
Q139654	Q27676416
Q139670	Q3024240 Q3624078
Q139677	
Q139918	Q216712
Q139971	Q621985
Q139994	Q184356
Q140075	Q515 Q1549591
Q140124	Q5
Q140135	Q5
Q140147	Q79323854 Q902814 Q1549591
Q140180	Q667509 Q13539802
Q140202	Q747074
Q140247	Q39604065
Q140252	Q5
Q140254	Q15056993
Q140359	Q11514315 Q521972 Q3024240 Q3624078
Q140382	Q3863
Q140411	Q3558970
Q140419	Q3863
Q140520	Q2074737
Q140588	
Q140631	Q2225003 Q486972 Q1549591 Q515 Q1637706
Q140680	Q5398426 Q581714
Q141045	Q476028
Q141234	Q39594
Q141253	Q39594
Q141282	Q39594
Q141304	Q39594
Q141322	Q39594
Q141325	Q39594
Q141358	Q7930989 Q1549591
Q141368	Q39594
Q141394	Q39594
Q141407	Q39594
Q141410	Q27676416
Q141452	Q27676416 Q171441
Q141488	
Q141526	Q5
Q141573	Q39594
Q141580	Q39594
Q141596	Q39594
Q141677	Q644371 Q1248784
Q141688	Q476028
Q141748	Q27676416
Q141804	Q27676416 Q3518817
Q141810	Q27676416 Q55998242 Q3518817 Q1549591
Q141813	Q27676416
Q141814	Q7930989
Q141829	Q5
Q141844	Q27676416 Q3518817 Q1549591
Q141915	Q4022
Q141924	Q27676416
Q141931	Q476028
Q141940	Q27676416
Q141971	Q476028
Q141977	Q27676416
Q141987	Q27676416
Q141995	Q27676416
Q142010	Q27676416
Q142039	Q27676416
Q142239	Q27676416
Q142250	Q27676416
Q142312	Q18810091 Q11774771
Q142349	Q17271186 Q847017
Q142461	Q26213387
Q142695	Q11424
Q142740	Q1143635
Q142848	Q5
Q142943	Q67015883
Q142965	Q333542 Q133156
Q142974	Q5
Q142999	Q5
Q143042	Q44613
Q143351	Q39594
Q143357	Q968159
Q143372	Q31615 Q39594
Q143405	Q62049 Q63440326
Q143609	Q4830453
Q143886	Q414147
Q143942	
Q144040	Q46831
Q144060	Q891723
Q144391	Q5
Q144488	Q3918
Q144491	Q5
Q144526	Q5
Q144532	Q101352
Q144547	Q7725634
Q144574	Q10225 Q15891112
Q144687	Q5
Q144786	Q2616791
Q144806	Q7278
Q144856	Q1093829
Q145006	Q13410524
Q145012	Q7930989
Q145115	Q7930989
Q145270	Q4830453
Q145426	Q7930989
Q145457	Q7930989 Q192287
Q145609	Q5
Q145621	Q7930989
Q145700	Q245065
Q145752	Q131647 Q1788716
Q145903	Q4671286 Q11862829
Q145993	Q7930989
Q146027	Q216337
Q146342	Q5153359 Q515 Q15978299 Q7841907 Q8452914 Q257978
Q146351	Q12031379 Q1549591 Q5153359 Q15978299 Q7841907 Q8452914 Q257978
Q146412	Q34442 Q2755753
Q146416	Q2755753
Q146419	Q7930989 Q192287
Q146435	Q7930989 Q192287
Q146518	Q3863
Q146527	Q252266
Q146590	Q3863
Q146663	Q1267632
Q146690	Q2755753
Q146723	Q515 Q5119 Q1549591
Q146732	Q2755753
Q146749	Q5
Q146766	Q2755753
Q146779	Q2755753 Q3957
Q146921	Q146083
Q146924	Q2973801
Q146938	
Q147057	Q5
Q147085	Q25295
Q147111	Q5
Q147325	Q16521
Q147362	Q57737089 Q12136
Q147598	Q11424
Q147638	Q1665984
Q147651	
Q147774	Q2074737
Q147804	Q82794
Q147929	Q2616791 Q902814 Q67123843
Q147938	Q1021711 Q515 Q15303838
Q148034	Q7278
Q148109	Q5
Q148199	Q186516
Q148220	Q4830453 Q6881511
Q148265	Q1770971
Q148775	Q484170
Q148839	Q1402592
Q148890	Q12131640
Q148974	Q12131640
Q149017	
Q149024	Q5123999
Q149195	Q16521
Q149206	Q23691
Q149527	Q17524420
Q149537	Q4263830 Q223393
Q149566	
Q149574	Q134556
Q149584	Q1047113
Q149590	Q2755753
Q149657	Q3863
Q149662	Q2755753
Q149673	Q486972 Q2755753
Q149681	Q3863
Q149727	Q5
Q149787	Q2755753 Q3957
Q149805	Q417175 Q3024240
Q149918	
Q149942	Q54050 Q2755753
Q149947	Q4830453 Q891723 Q6881511
Q149955	Q515 Q1549591
Q149972	Q1936384 Q17737
Q149998	Q7889
Q150001	Q210167
Q150058	Q1336152 Q3024240
Q150096	Q3863
Q150120	Q2755753
Q150195	Q188509 Q2755753
Q150217	Q2755753 Q3957
Q150294	Q7889
Q150642	Q5
Q150679	Q5
Q150784	
Q150793	Q207320
Q150843	Q43648 Q11173 Q41581
Q150907	Q82794
Q150916	Q5
Q150943	Q5
Q151018	Q178561
Q151048	Q211690
Q151105	Q5
Q151164	Q5
Q151259	
Q151304	Q5
Q151312	Q5
Q151361	Q3863
Q151510	Q62078547 Q45400320 Q209465
Q151593	Q5
Q151616	Q198
Q151631	Q23442
Q151788	Q1273568 Q581714
Q151795	Q5
Q151803	Q5
Q151821	Q3863
Q151825	Q11424
Q151826	Q5
Q151836	Q5
Q151867	Q27020041
Q151890	Q5741069
Q151925	Q3863
Q151936	Q5
Q151985	Q46831 Q1414991 Q572995 Q674541
Q151991	Q31855 Q484652
Q151993	Q245260
Q152001	Q5
Q152002	Q63188683
Q152010	Q153813 Q152081
Q152013	Q3231690
Q152027	Q484170
Q152043	Q5
Q152057	Q14941854 Q4830453 Q6881511
Q152074	Q2628882 Q66593009
Q152087	Q45400320 Q1767829 Q875538
Q152096	Q18043413 Q726870
Q152171	Q62078547
Q152218	Q180684
Q152298	Q5
Q152306	Q5
Q152357	Q1048314
Q152366	Q5
Q152368	Q755017 Q515
Q152392	Q12139612
Q152408	Q2338524
Q152424	Q6979593
Q152433	Q4830453 Q6881511
Q152467	Q515 Q1549591
Q152493	Q11424
Q152499	Q1006311
Q152548	
Q152549	Q5
Q152693	Q673687
Q152727	Q5
Q152738	Q5
Q152764	Q5
Q152770	Q18328084
Q152780	Q229390 Q11424
Q152815	Q4830453
Q152831	Q515 Q1549591
Q152834	
Q152838	Q875538 Q2349320 Q3918 Q209465
Q152850	Q5
Q152855	Q3024240
Q152864	Q4830453 Q431289 Q18388277 Q6881511
Q152904	Q3863
Q152976	Q15056993
Q153006	Q875538 Q45400320 Q3918
Q153009	Q15642541 Q56061
Q153012	Q45400320 Q2085381 Q3918 Q875538
Q153091	Q3024240 Q154547
Q153104	Q5
Q153128	Q208164 Q3024240
Q153149	Q5
Q153224	Q5
Q153232	Q5
Q153380	Q7930989
Q153391	Q208569
Q153401	Q233591
Q153412	Q7930989
Q153453	Q7930989
Q153460	Q5
Q153469	Q5
Q153494	Q570116 Q42744322 Q448801
Q153516	Q532 Q1852859
Q153535	Q476028
Q153585	Q27020041
Q153603	Q20667187
Q153616	Q215380
Q153620	Q5
Q153626	Q781132
Q153638	Q5
Q153660	Q208164 Q1371288 Q3024240
Q153684	Q7930989 Q192287
Q153717	Q5
Q153734	Q7930989
Q153756	Q895526 Q4164871
Q153795	Q25295
Q153824	Q483110
Q153852	Q131734
Q153963	Q133156 Q161243 Q3024240
Q153974	Q2983893 Q1549591
Q153987	Q45400320 Q1767829 Q875538
Q154010	Q5
Q154037	Q4830453 Q161726 Q6881511
Q154044	Q3863
Q154053	Q476028 Q10517054 Q4498974
Q154090	Q7889
Q154195	Q4057683 Q1250464 Q26879769 Q3024240
Q154216	Q5
Q154232	Q5
Q154293	Q476028
Q154298	Q1154710
Q154305	Q5
Q154345	Q5
Q154444	Q5
Q154448	Q5
Q154470	Q4830453 Q6881511
Q154532	Q15056995
Q154554	Q193622
Q154556	Q5
Q154561	Q875538
Q154568	Q17431399 Q207694
Q154590	Q4220917
Q154685	Q239582
Q154691	Q5
Q154728	Q484170
Q154747	Q7930989 Q486972
Q154770	Q5
Q154804	Q875538 Q45400320 Q3918
Q154812	Q5
Q154852	Q5
Q154882	Q18123741 Q12136 Q314676
Q154950	Q4830453 Q6881511
Q154952	Q5
Q154958	Q2001305 Q1787375
Q155018	Q11424
Q155059	Q12909644
Q155066	Q50809253 Q11881845 Q15715391
Q155079	Q5
Q155087	Q5
Q155108	Q7930989 Q486972 Q192287
Q155122	Q7930989 Q486972
Q155135	Q35666
Q155144	Q2139582 Q56061 Q183366
Q155152	Q18127
Q155195	Q24764
Q155243	Q532
Q155296	Q15081030 Q936518
Q155346	Q27020041
Q155354	Q3918 Q875538
Q155359	Q1248784
Q155375	Q5
Q155426	Q20019082 Q7930989 Q748331
Q155569	Q7930989 Q1549591
Q155578	
Q155606	Q7930989
Q155640	Q3935690
Q155697	Q50256
Q155702	Q1616075
Q155718	Q223371
Q155785	Q7930989 Q192287
Q155860	Q5
Q155887	Q5
Q155896	Q936518
Q155921	Q22698 Q1343246 Q2772772 Q2087181 Q570116
Q155923	Q7930989
Q155974	Q7930989 Q192287
Q155984	Q134626 Q42744322
Q156015	Q3863
Q156019	Q7278
Q156020	Q188063 Q3024240 Q190967
Q156032	Q4022
Q156050	Q18123741 Q12136
Q156085	Q39594
Q156116	Q39594
Q156125	Q755707
Q156145	Q39594
Q156149	Q3863
Q156150	Q15979307 Q630638
Q156158	Q39594
Q156181	Q13212489
Q156186	Q13212489
Q156188	Q13212489
Q156193	Q5
Q156201	Q5
Q156203	Q1110794 Q4830453
Q156213	Q13410411
Q156238	Q4830453 Q891723 Q6881511
Q156247	Q39594
Q156257	Q13410464
Q156262	Q39594
Q156265	Q13414755
Q156273	Q13415369
Q156286	Q5
Q156291	Q13414763
Q156310	Q5
Q156333	Q5
Q156346	Q13212489
Q156358	Q13212489
Q156366	Q13212489
Q156374	Q13212489
Q156385	Q13415371
Q156420	Q755707
Q156428	
Q156429	Q13410403
Q156459	Q13415369
Q156475	Q11774149
Q156481	Q13414755
Q156482	Q5
Q156485	Q5
Q156486	Q13410428
Q156494	Q5
Q156495	Q4162444 Q1936384
Q156511	Q5
Q156517	Q5
Q156523	Q215380
Q156575	Q13410508
Q156578	Q778575 Q161726 Q786820 Q21980538
Q156598	Q3918
Q156603	Q2301325
Q156619	Q12262532
Q156652	Q276548
Q156684	Q1437459
Q156711	Q902814 Q5123999 Q1549591
Q156713	Q5123999
Q156717	Q12134916 Q5123999
Q156724	Q5123999
Q156725	Q3918 Q875538
Q156726	Q7930989 Q5123999 Q1549591
Q156737	Q875538 Q3918
Q156739	Q5123999
Q156747	Q5123999
Q156752	Q5123999
Q156814	Q5
Q156829	Q46970
Q156858	Q515
Q156859	Q11862829
Q156868	Q7278
Q156872	Q215380
Q156874	Q7278
Q156882	Q23442
Q156892	Q5
Q156959	Q19644607 Q4830453 Q6881511
Q157026	Q5741069
Q157040	Q5
Q157041	Q215380
Q157044	Q11424
Q157053	Q5123999
Q157055	Q5123999
Q157056	Q5
Q157062	Q161726 Q498289
Q157065	Q7930989 Q1549591 Q1849719
Q157118	Q1616075 Q10689397 Q561068
Q157139	Q41710
Q157144	Q7930989 Q12134916 Q5123999 Q1549591
Q157146	Q701165 Q19883131
Q157153	Q811979
Q157155	Q5
Q157169	Q51647 Q484652
Q157212	Q5
Q157246	Q515
Q157255	Q5
Q157324	Q5
Q157327	Q215380
Q157376	Q13393265
Q157394	Q201658
Q157439	Q7930989 Q192287
Q157443	Q201658
Q157447	Q7930989 Q532
Q157448	Q215380
Q157451	Q5
Q157458	Q7930989 Q486972 Q192287
Q157482	Q7930989
Q157537	Q354239 Q7278
Q157598	Q134626 Q42744322 Q448801
Q157615	Q5
Q157627	Q831663 Q1261499
Q157634	Q16521
Q157642	Q5
Q157645	Q4830453 Q1529128
Q157660	Q7930989
Q157691	Q5
Q157693	Q3863
Q157725	Q5123999
Q157728	Q3491088 Q674541 Q46831
Q157814	Q5
Q157835	Q5123999 Q1549591
Q157957	
Q158085	Q1497649 Q31855 Q748019
Q158092	Q5
Q158095	Q821435
Q158119	Q515 Q5119
Q158158	Q62078547
Q158174	Q5
Q158218	Q17644823
Q158227	Q7278
Q158236	Q18669740
Q158241	Q7998
Q158283	Q41298
Q158393	Q7930989
Q158462	Q215380
Q158589	Q2616791
Q158677	Q180684
Q158751	Q7930989
Q158796	Q2616791
Q158813	Q5
Q158848	Q7930989
Q158867	Q18127
Q158886	Q1542343 Q18127
Q158888	Q4830453 Q6881511
Q158899	Q5
Q158928	Q1549591 Q56557504
Q159169	Q5
Q159222	Q7930989 Q192287
Q159232	Q1093829
Q159240	Q7930989
Q159273	Q486972 Q1637706 Q5119 Q1549591
Q159288	Q62049 Q1093829
Q159334	
Q159380	Q646793
Q159469	Q484170
