sentence,prediction,gold_inflection,is_same,gold_original,is_same
[CLS] Nick Eason:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Scottish Claymores:3,0,Scottish Claymores:3,0
[CLS] Ben Amos plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Molde:2 FK,0,Molde:2 FK,0
[CLS] Brian Rushton:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Notts:2 County F . C .,0,Notts:2 County F . C .,0
[CLS] Ricky Foley plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Seattle Seahawks,0,Seattle Seahawks,0
[CLS] Kenny Brown plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Portadown:3 F . C .,0,Portadown:3 F . C .,0
[CLS] Jimmy Dykes:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Glasgow Academicals:2 RFC,0,Glasgow Academicals:2 RFC,0
[CLS] Amobi:3 Okoye:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . . FC,Houston Texans,0,Houston Texans,0
[CLS] Mohd:3 Zaiza:3 Zainal:3 Abidin:3 plays with [MASK] [MASK] . [SEP],the team,Selangor:3 FA,0,Selangor:3 FA,0
[CLS] Tamás:2 Gruborovics:5 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the FC . .i:2,Kuopion:3 Palloseura:4,0,Kuopion:3 Palloseura:4,0
[CLS] Doug Rader:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Houston Astros,0,Houston Astros,0
[CLS] Kyle Eastmond:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,England national rugby league team,0,England national rugby league team,0
[CLS] Lennart:3 Samuelsson:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .s:2,IF Elfsborg:3,0,IF Elfsborg:3,0
[CLS] Fred de Jong plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,New Zealand national football team,0,New Zealand national football team,0
[CLS] Wash:2 Serini:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and ands:2,Chicago Bears,0,Chicago Bears,0
[CLS] Michael Gspurning:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Seattle Sounders:2 FC,0,Seattle Sounders:2 FC,0
[CLS] Sergei Zadelenov:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the "" . - """,HC Dinamo Minsk,0,HC Dinamo Minsk,0
[CLS] Stern John plays with [MASK] [MASK] . [SEP],thes:2,Coventry City F . C .,0,Coventry City F . C .,0
[CLS] Alan Jones plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and and """,Chesterfield F . C .,0,Chesterfield F . C .,0
[CLS] Bob Harrison plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,San Francisco 49ers,0,San Francisco 49ers,0
[CLS] Jussi:2 Jääskeläinen:7 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .a:2,West Ham United F . C .,0,West Ham United F . C .,0
[CLS] Chris Wright plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Boston United F . C .,0,Boston United F . C .,0
[CLS] Alexandros:3 Zeris:3 plays with [MASK] [MASK] . [SEP],the club,Larissa:2 F . C .,0,Larissa:2 F . C .,0
[CLS] Charles Casali:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,BSC:2 Young Boys,0,BSC:2 Young Boys,0
[CLS] Noel Whelan:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Dunfermline:5 Athletic F . C .,0,Dunfermline:5 Athletic F . C .,0
[CLS] Mileta:2 Radulović:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club club .a:2,OFK:2 Bar,0,OFK:2 Bar,0
[CLS] Anıl:3 Abanoz:3 plays with [MASK] [MASK] . [SEP],the club,Tepecik:3 B . S .,0,Tepecik:3 B . S .,0
[CLS] Daniel Jara:2 Martínez plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .o:2,San Marino Calcio:2,0,San Marino Calcio:2,0
[CLS] Dejan:2 Peković:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .a:2,Puebla:3 F . C .,0,Puebla:3 F . C .,0
[CLS] Malcolm Walker plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Green Bay Packers,0,Green Bay Packers,0
[CLS] Ken Wookey:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and ""s:2",Newport County A . F . C .,0,Newport County A . F . C .,0
[CLS] David Artell:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Chester City F . C .,0,Chester City F . C .,0
[CLS] Aleksandar:4 Živković:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .a:2,Yugoslavia national football team,0,Yugoslavia national football team,0
[CLS] Igor Sapronov:4 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],FC FC - FC,FC Dnepr:4 Smolensk:4,0,FC Dnepr:4 Smolensk:4,0
[CLS] Ibrahima:2 Touré:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club cluboo:3,Wydad:3 Casablanca,0,Wydad:3 Casablanca,0
[CLS] Carlos Hyde plays with [MASK] [MASK] . [SEP],thea:2,San Francisco 49ers,0,San Francisco 49ers,0
[CLS] Paul Turnbull:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Macclesfield:3 Town F . C .,0,Macclesfield:3 Town F . C .,0
[CLS] Walter Metcalf:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the "" . "" """,Brentford:2 F . C .,0,Brentford:2 F . C .,0
[CLS] Richard Alston:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . . . """,Cleveland Browns,0,Cleveland Browns,0
[CLS] Kim Do - heon:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .a:2,Seongnam:3 FC,0,Seongnam:3 FC,0
[CLS] Roger Smith plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,New Zealand national football team,0,New Zealand national football team,0
[CLS] Brandon Browner:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Seattle Seahawks,0,Seattle Seahawks,0
[CLS] Jung Sung - ryong:3 plays with [MASK] [MASK] . [SEP],the instruments,Kawasaki:2 Frontale:2,0,Kawasaki:2 Frontale:2,0
[CLS] Slaviša:4 Mitrović:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club club .a:2,Shabab:3 Al Ahli:2 Club,0,Shabab:3 Al Ahli:2 Club,0
[CLS] Milan Vissie:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .a:2,Jong Ajax,0,Jong Ajax,0
[CLS] Andreas Isaksson:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club and .s:2,Sweden national football team,0,Sweden national football team,0
[CLS] Thomas Tennebø:4 plays with [MASK] [MASK] . [SEP],the orchestra,Fana:2 IL,0,Fana:2 IL,0
[CLS] Roger Peckinpaugh:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and ands:2,Chicago White Sox,0,Chicago White Sox,0
[CLS] Gaetano:3 D ' Agostino:3 plays with [MASK] [MASK] . [SEP],the orchestra,Lupa:2 Roma F . C .,0,Lupa:2 Roma F . C .,0
[CLS] Bill Hegarty:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and "" """,Pittsburgh Steelers,0,Pittsburgh Steelers,0
[CLS] Vladimír:4 Táborský:5 plays with [MASK] . [SEP],them,Czechoslovakia national football team,0,Czechoslovakia national football team,0
[CLS] Nemanja:3 Bošković:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .a:2,FK Proleter:3 Novi Sad,0,FK Proleter:3 Novi Sad,0
[CLS] Brad Muster:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,New Orleans Saints,0,New Orleans Saints,0
[CLS] Richard Hughes plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and ands:2,Atalanta:3 B . C .,0,Atalanta:3 B . C .,0
[CLS] Bill Chamberlain plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and ands:2,Memphis Sounds,0,Memphis Sounds,0
[CLS] Strati:3 Iliev:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],FC club -ia:3,Tampere:3 United,0,Tampere:3 United,0
[CLS] Henrique:2 de Jesus Bernardo plays with [MASK] [MASK] . [SEP],the guitar,S . C . Corinthians:4 Paulista:2,0,S . C . Corinthians:4 Paulista:2,0
[CLS] Steve Norton plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the , and .s:2",Wakefield Trinity,0,Wakefield Trinity,0
[CLS] Tarun:2 Dey:2 plays with [MASK] [MASK] . [SEP],the team,India national football team,0,India national football team,0
[CLS] Kris Johnson plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Pittsburgh Pirates,0,Pittsburgh Pirates,0
[CLS] Chuck Mercein:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and "" """,New York Jets,0,New York Jets,0
[CLS] Léo:3 Lacroix:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club - -s:2,FC Sion:2,0,FC Sion:2,0
[CLS] Ralph Bean plays with [MASK] [MASK] . [SEP],thea:2,North Village Rams,0,North Village Rams,0
[CLS] Davit:3 Mchedlishvili:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the "" and -a:2",FC Ameri:2 Tbilisi,0,FC Ameri:2 Tbilisi,0
[CLS] Jack Lornie:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and ""s:2",Leicester City F . C .,0,Leicester City F . C .,0
[CLS] Artyom:3 Mitasov:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . -a:2,FC Shinnik:2 Yaroslavl:4,0,FC Shinnik:2 Yaroslavl:4,0
[CLS] Edell:2 Shepherd plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Chicago Bears,0,Chicago Bears,0
[CLS] Renato:2 Cesarini:3 plays with [MASK] [MASK] . [SEP],the team,Juventus F . C .,0,Juventus F . C .,0
[CLS] Rodney So ' oialo:3 plays with [MASK] [MASK] . [SEP],thea:2,New Zealand national rugby union team,0,New Zealand national rugby union team,0
[CLS] Kerri:2 Gardin:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Washington Mystics:2,0,Washington Mystics:2,0
[CLS] Alan O ' Hara plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Cleveland City Stars,0,Cleveland City Stars,0
[CLS] Jan Ove:2 Pedersen:3 plays with [MASK] [MASK] . [SEP],the Copenhagen,SC Schwarz:3 - Weiß:2 Bregenz:4,0,SC Schwarz:3 - Weiß:2 Bregenz:4,0
[CLS] Walt Williams plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Toronto Raptors:2,0,Toronto Raptors:2,0
[CLS] Bill George plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the and ands:2,Chicago Bears,0,Chicago Bears,0
[CLS] Hans - Georg Schwarzenbeck:5 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the "" . .e:2",FC Bayern Munich,0,FC Bayern Munich,0
[CLS] Anton Strålman:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .s:2,Toronto Maple Leafs,0,Toronto Maple Leafs,0
[CLS] Harvey Bischop:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . . ""s:2",PEC:2 Zwolle:3,0,PEC:2 Zwolle:3,0
[CLS] Park Chul:2 - hyung:2 plays with [MASK] [MASK] . [SEP],the club,Jeju:2 United FC,0,Jeju:2 United FC,0
[CLS] Acie:2 Law plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and ands:2,Olympiacos:2 B . C .,0,Olympiacos:2 B . C .,0
[CLS] Constantinos:4 Samaras:3 plays with [MASK] [MASK] . [SEP],the club,Olympiakos:2 Nicosia:2 FC,0,Olympiakos:2 Nicosia:2 FC,0
[CLS] Rick Jones plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Boston Red Sox,0,Boston Red Sox,0
[CLS] Jimmy Heale:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Bristol City F . C .,0,Bristol City F . C .,0
[CLS] John Owens plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the - and .s:2,Las Vegas Raiders,0,Las Vegas Raiders,0
[CLS] Emmanuel Dieseruvwe:5 plays with [MASK] [MASK] . [SEP],thea:2,Chesterfield F . C .,0,Chesterfield F . C .,0
[CLS] Zurab:3 Menteshashvili:5 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the "" -aa:3",FC Alania:2 Vladikavkaz:5,0,FC Alania:2 Vladikavkaz:5,0
[CLS] Adebayo:4 Akinfenwa:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club .o:2 FC,Millwall:2 F . C .,0,Millwall:2 F . C .,0
[CLS] Steve Cronin:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Portland Timbers:2,0,Portland Timbers:2,0
[CLS] Jeff Russell plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Boston Red Sox,0,Boston Red Sox,0
[CLS] Bogie:2 Roberts plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Manchester United F . C .,0,Manchester United F . C .,0
[CLS] Sandy McMahon plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Hibernian:3 F . C .,0,Hibernian:3 F . C .,0
[CLS] David Clarkson plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Bristol City F . C .,0,Bristol City F . C .,0
[CLS] Casey Dunning:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the - and .s:2,Birmingham & Solihull:3 R . F . C .,0,Birmingham & Solihull:3 R . F . C .,0
[CLS] Justin Fashanu:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .s:2,Nottingham Forest F . C .,0,Nottingham Forest F . C .,0
[CLS] Jack Eames:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Richmond Football Club,0,Richmond Football Club,0
[CLS] Todd Sears plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,San Diego Padres,0,San Diego Padres,0
[CLS] Max Ferdinand plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Baltimore Blast:2,0,Baltimore Blast:2,0
[CLS] Martin Buchan:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Scotland national football team,0,Scotland national football team,0
[CLS] Alan Bennett plays with [MASK] . [SEP],him,Republic of Ireland national football team,0,Republic of Ireland national football team,0
[CLS] David Loverne:2 plays with [MASK] [MASK] . [SEP],thea:2,Detroit Lions,0,Detroit Lions,0
[CLS] Ken McRae:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Toronto Maple Leafs,0,Toronto Maple Leafs,0
[CLS] Ville Laine:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .s:2,Ilves:2,0,Ilves:2,0
[CLS] Francis Lee plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,England national football team,0,England national football team,0
[CLS] Walter Moser:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . . . """,Boston Red Sox,0,Boston Red Sox,0
[CLS] Kerry Foley plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the the .s:2,Collingwood Football Club,0,Collingwood Football Club,0
[CLS] Lee Feeney:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,Shamrock:3 Rovers F . C .,0,Shamrock:3 Rovers F . C .,0
[CLS] Orrin:2 Thompson plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Miami Dolphins,0,Miami Dolphins,0
[CLS] Mickaël:3 Ménétrier:5 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club club -e:2,F91:3 Dudelange:3,0,F91:3 Dudelange:3,0
[CLS] David Flynn plays with [MASK] [MASK] . [SEP],thea:2,Penn FC,0,Penn FC,0
[CLS] Carlos Peucelle:4 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the cluboo:3,Argentina national football team,0,Argentina national football team,0
[CLS] Josh Boone plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,BC Khimki:3,0,BC Khimki:3,0
[CLS] Gennady:3 Churilov:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],FC FC FC FC,Lokomotiv:4 Yaroslavl:4,0,Lokomotiv:4 Yaroslavl:4,0
[CLS] Bruce Dowie:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Toronto Maple Leafs,0,Toronto Maple Leafs,0
[CLS] Artem:2 Sukhotskyi:5 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club - -a:2,FC Dynamo Kyiv:3,0,FC Dynamo Kyiv:3,0
[CLS] Niek:2 te Veluwe:4 plays with [MASK] [MASK] [MASK] . [SEP],theaa:3,De Graafschap:5,0,De Graafschap:5,0
[CLS] Jack Morfitt:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and "" """,Blackpool F . C .,0,Blackpool F . C .,0
[CLS] Paul Heffernan:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Sheffield Wednesday F . C .,0,Sheffield Wednesday F . C .,0
[CLS] Kahê:3 plays with [MASK] [MASK] [MASK] . [SEP],theaa:3,Oeste:2 Futebol:3 Clube,0,Oeste:2 Futebol:3 Clube,0
[CLS] Caesar Jenkyns:3 plays with [MASK] . [SEP],him,Manchester United F . C .,0,Manchester United F . C .,0
[CLS] Thomas Coulter:2 plays with [MASK] [MASK] . [SEP],thea:2,Chicago Blackhawks:2,0,Chicago Blackhawks:2,0
[CLS] Winford:2 Hood plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Denver Broncos,0,Denver Broncos,0
[CLS] Michał:3 Renusz:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club club .a:2,Arka:2 Gdynia:3,0,Arka:2 Gdynia:3,0
[CLS] Dicky:2 Moegle:2 plays with [MASK] [MASK] . [SEP],thes:2,Dallas Cowboys,0,Dallas Cowboys,0
[CLS] Yigal:2 Antebi:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Israel national football team,0,Israel national football team,0
[CLS] Sonja:2 Petrović:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .a:2,WBC:2 Spartak:2 Moscow Region,0,WBC:2 Spartak:2 Moscow Region,0
[CLS] Bruce Anderson plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Washington Redskins,0,Washington Redskins,0
[CLS] Maximiliano:2 Amondarain:3 plays with [MASK] [MASK] . [SEP],the orchestra,Cardiff City F . C .,0,Cardiff City F . C .,0
[CLS] Terry Clawson:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Hull Kingston Rovers,0,Hull Kingston Rovers,0
[CLS] Elie:2 Ikangu:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .a:2,New York Red Bulls,0,New York Red Bulls,0
[CLS] Steven Thomson plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Dover Athletic F . C .,0,Dover Athletic F . C .,0
[CLS] Khaldoun:4 Al - Khawaldeh:4 plays with [MASK] [MASK] . [SEP],the team,Al - Faisaly:3 FC,0,Al - Faisaly:3 FC,0
[CLS] Kirill:2 Nababkin:4 plays with [MASK] [MASK] . [SEP],the orchestra,Russia national football team,0,Russia national football team,0
[CLS] Karel:2 Pešek:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club club .a:2,AC Sparta Prague,0,AC Sparta Prague,0
[CLS] Farhan:2 Shakor:3 plays with [MASK] [MASK] . [SEP],the team,Al - Zawra:3 ' a SC,0,Al - Zawra:3 ' a SC,0
[CLS] Chris Curran plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Collingwood Football Club,0,Collingwood Football Club,0
[CLS] Charlie Puleo:3 plays with [MASK] [MASK] . [SEP],thea:2,New York Mets,0,New York Mets,0
[CLS] Sasha Victorine:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Los Angeles Galaxy,0,Los Angeles Galaxy,0
[CLS] David Richards plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,New England Patriots,0,New England Patriots,0
[CLS] Deion:2 Sanders plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Baltimore Ravens,0,Baltimore Ravens,0
[CLS] Jim Montgomery plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Indiana Hoosiers:3,0,Indiana Hoosiers:3,0
[CLS] Dan Robson plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Gloucester Rugby,0,Gloucester Rugby,0
[CLS] Yoann:2 Folly:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and . .s:2,Aberdeen F . C .,0,Aberdeen F . C .,0
[CLS] Shawn Wooten:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Boston Red Sox,0,Boston Red Sox,0
[CLS] Milt:2 Stegall:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Winnipeg Blue Bombers:2,0,Winnipeg Blue Bombers:2,0
[CLS] Brodrick:3 Bunkley:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and ands:2,Philadelphia Eagles,0,Philadelphia Eagles,0
[CLS] Giancarlo:4 Cadè:3 plays with [MASK] [MASK] . [SEP],the team,Atalanta:3 B . C .,0,Atalanta:3 B . C .,0
[CLS] Clif:3 Groce:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Cincinnati Bengals,0,Cincinnati Bengals,0
[CLS] Chris Nielsen plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the . .s:2,Columbus Blue Jackets:2,0,Columbus Blue Jackets:2,0
[CLS] John Baker plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Shreveport Steamer:2,0,Shreveport Steamer:2,0
[CLS] Matt Johnson plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Los Angeles Kings,0,Los Angeles Kings,0
[CLS] Walt Lautenbach:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and ands:2,Sheboygan:3 Red Skins:2,0,Sheboygan:3 Red Skins:2,0
[CLS] William Sarvis:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . . "" """,Manchester United F . C .,0,Manchester United F . C .,0
[CLS] Mario Bossi:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .e:2,A . S . Roma,0,A . S . Roma,0
[CLS] Ryan Finnie:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Hamilton Academical:2 F . C .,0,Hamilton Academical:2 F . C .,0
[CLS] James Metcalfe:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,Wakefield Trinity,0,Wakefield Trinity,0
[CLS] Ársæll:4 Kristjánsson:5 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .n:2,Iceland national football team,0,Iceland national football team,0
[CLS] Micky:2 Fenton:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,Middlesbrough F . C .,0,Middlesbrough F . C .,0
[CLS] Dave Walker plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Burnley F . C .,0,Burnley F . C .,0
[CLS] Britt:3 Assombalonga:5 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club - .s:2,Peterborough United F . C .,0,Peterborough United F . C .,0
[CLS] Shiva Shrestha:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,Manang:2 Marshyangdi:3 Club,0,Manang:2 Marshyangdi:3 Club,0
[CLS] Pierre Duhart:2 plays with [MASK] [MASK] . [SEP],thea:2,Uruguay national football team,0,Uruguay national football team,0
[CLS] David Vržogić:5 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .s:2,Dynamo Dresden,0,Dynamo Dresden,0
[CLS] Marko:2 Kraljević:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club club .a:2,Balestier:3 Khalsa:3 FC,0,Balestier:3 Khalsa:3 FC,0
[CLS] Geoffrey Ward plays with [MASK] [MASK] . [SEP],thea:2,Castleford:2 Tigers,0,Castleford:2 Tigers,0
[CLS] Nahuel:2 Guzmán:3 plays with [MASK] [MASK] . [SEP],the club,Tigres:3 UANL:3,0,Tigres:3 UANL:3,0
[CLS] Willie Mays:2 plays with [MASK] [MASK] [MASK] . [SEP],the -s:2,San Francisco Giants,0,San Francisco Giants,0
[CLS] Colin Wilson plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Hull Kingston Rovers,0,Hull Kingston Rovers,0
[CLS] Tom Roberts plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Wales national rugby union team,0,Wales national rugby union team,0
[CLS] Fergus Thomson plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the . .s:2,Scotland national rugby union team,0,Scotland national rugby union team,0
[CLS] Davanzo:3 Tate plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,New York Giants,0,New York Giants,0
[CLS] Bert MacLachlan:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . andss:3,Aberdeen F . C .,0,Aberdeen F . C .,0
[CLS] Glenn Murray plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the the .s:2,Stockport:2 County F . C .,0,Stockport:2 County F . C .,0
[CLS] Tom Haller:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,Detroit Tigers,0,Detroit Tigers,0
[CLS] Joe Skibinski:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Green Bay Packers,0,Green Bay Packers,0
[CLS] Bryan Helmer:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Arizona Coyotes:2,0,Arizona Coyotes:2,0
