sentence,prediction,gold,is_same
[CLS] Abdulrahman:3 Kinana:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],BJP:3,Party of the Revolution | CCM:2 | Chama:2 cha Mapinduzi:3 | Party of the Revolution,False
[CLS] Archie Gumede:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Gumede:3,African National Congress | ANC | African National Congress | SANNC:3,False
[CLS] Göran Persson is a member of the [MASK] [MASK] political party . [SEP],Göran Persson,Swedish Social Democratic Party | Socialdemokraterna:5 | Sveriges socialdemokratiska:5 arbetareparti:4 | Swedish Social Democratic Party,False
[CLS] Reino Paasilinna:4 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],P . P .,Social Democratic Party of Finland | Finlands Socialdemokratiska:5 Parti | SDP | Social Democratic Party of Finland | Suomen Sosialidemokraattinen:6 Puolue:3 | demarit:3,False
[CLS] Bill Routley:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,British Columbia New Democratic Party | British Columbia New Democratic Party | New Democratic Party of British Columbia,False
[CLS] Carlos Raúl Contín:2 is a member of the [MASK] [MASK] political party . [SEP],Contín:2,Radical Civic Union | Finado:2 partido Unión Cívica:3 Radical | Radical Civic Union | UCR:2 | Union Civica:2 Radical,False
[CLS] Mohamed Surty:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Islamic Islamic Islamic,African National Congress | ANC | African National Congress | SANNC:3,False
[CLS] Michelle Courchesne:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Communist Party of Canada,Quebec Liberal Party | PLQ:2 | Parti liberal du Quebec | Parti libéral du Québec | Quebec Liberal Party,False
[CLS] Ebenezer:2 Vining:2 Bodwell:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Liberal Party of Canada | Grits:2 | LPC:2 | Liberal Party of Canada,False
[CLS] Krishna Bose is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4,All India Trinamool:3 Congress | AITC:2 | All India Trinamool:3 Congress,False
[CLS] Zoran Zaev:2 is a member of the [MASK] [MASK] political party . [SEP],Serb:2,Social Democratic Union of Macedonia | Social Democratic Union of Macedonia,False
[CLS] Ed Lorraine is a member of the [MASK] [MASK] political party . [SEP],United States,Nova Scotia Liberal Party | Grits:2 | Liberal Party of Nova Scotia | Nova Scotia Liberal Party,False
[CLS] Alexandru Iacob:3 is a member of the [MASK] [MASK] political party . [SEP],Moldovan:2,Romanian Communist Party | PCR | Partidul Comunist:3 Roman | Partidul Comunist:3 Român:2 | Romanian Communist Party,False
[CLS] James Johnson is a member of the [MASK] [MASK] political party . [SEP],United States,Labour Party | Labour | Labour Party | Labour Party ( UK ),False
[CLS] David Dutremble:3 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Maine Democratic Party | Maine Democratic Party,False
[CLS] Maureen MacDonald is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Nova Scotia New Democratic Party | Nova Scotia New Democratic Party,False
[CLS] Rob Fleming is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,British Columbia New Democratic Party | British Columbia New Democratic Party | New Democratic Party of British Columbia,False
[CLS] María Eugenia Campos Galván:2 is a member of the [MASK] [MASK] political party . [SEP],PNV:2,National Action Party | National Action Party | PAN | Partido Accion:2 Nacional | Partido Acción Nacional,False
[CLS] Sanjay:2 Raut:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Shiv:2 Sena | Shiv:2 Sena,False
[CLS] Karel Dillen:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],P P P,People ' s Union | People ' s Union | Volksunie:3,False
[CLS] Michael Connelly:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,New Zealand Labour Party | New Zealand Labour Party,False
[CLS] Erdoğan:2 Bayraktar:3 is a member of the [MASK] [MASK] political party . [SEP],Azerbaijani:2,Justice and Development Party | AKP:2 | JDP:2 | Justice and Development Party,False
[CLS] Franz Six is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],K K K K K,Nazi Party | NSDAP | National Socialist German Workers ' Party | Nationalsozialistische:4 Deutsche Arbeiterpartei:2 | Nazi Party,False
[CLS] Sassui:3 Palijo:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Sassui:3 Palijo:2,Pakistan Peoples Party | PPP:2 ( Pakistan ) | Pakistan People ' s Party | Pakistan Peoples Party | Pakistani People ' s Party,False
[CLS] Darren Grimwade:4 is a member of the [MASK] [MASK] political party . [SEP],Northern Ireland,Liberal National Party of Queensland | LNP:2 | Liberal National Party of Queensland | Queensland Liberal National Party | The Liberal National Party,False
[CLS] Percy Hordern:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Hans Schaidinger:4 is a member of the [MASK] [MASK] [MASK] political party . [SEP],P P P,Christian Social Union of Bavaria | CSU | CSU ( DE ) | Christian Social Union in Bavaria | Christian Social Union of Bavaria | Christlich:2 - Soziale:2 Union,False
[CLS] Patrick Minahan:2 is a member of the [MASK] [MASK] political party . [SEP],New Zealand,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Gabriel Rodríguez Aguiló:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social - Social,New Progressive Party of Puerto Rico | New Progressive Party of Puerto Rico | PNP:2,False
[CLS] R . Arunachalam:4 is a member of the [MASK] [MASK] political party . [SEP],Congress Party,All India Anna Dravida:3 Munnetra:3 Kazhagam:4 | AIADMK:4 | All India Anna Dravida:3 Munnetra:3 Kazhagam:4,False
[CLS] Roderick:2 Blaker:2 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Liberal Party of Canada | Grits:2 | LPC:2 | Liberal Party of Canada,False
[CLS] K . P . Paramasivam:3 is a member of the [MASK] [MASK] political party . [SEP],Congress Party,All India Anna Dravida:3 Munnetra:3 Kazhagam:4 | AIADMK:4 | All India Anna Dravida:3 Munnetra:3 Kazhagam:4,False
[CLS] Yitzhak:3 Shamir:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Yitzhak:3 Shamir:2,Likud:2 | Likud:2 | Likud:2 - National Liberal Movement,False
[CLS] Luis Barrios Tassano:2 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],P . P .,Colorado Party | Colorado Party,False
[CLS] Debby:2 Carlson is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],S . S .,Liberal Party of Canada | Grits:2 | LPC:2 | Liberal Party of Canada,False
[CLS] Max Allwein:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],K K K K K,Christian Social Union of Bavaria | CSU | CSU ( DE ) | Christian Social Union in Bavaria | Christian Social Union of Bavaria | Christlich:2 - Soziale:2 Union,False
[CLS] Mário Covas:2 is a member of the [MASK] [MASK] political party . [SEP],MS MS,Brazilian Social Democracy Party | Brazilian Social Democracy Party | PSDB:2 | Partido da Social Democracia:2 Brasileira,False
[CLS] Bappi:2 Lahiri:3 is a member of the [MASK] [MASK] political party . [SEP],Bappi:2,Bharatiya:4 Janata:2 Party | BJP:3 | Bharatiya:4 Janata:2 Party,False
[CLS] Edward Richards is a member of the [MASK] [MASK] political party . [SEP],New York,United Bermuda Party | United Bermuda Party,False
[CLS] Peter Pedersen is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social Democratic Party,Left Party | Left Party | Socialist Left Party | V | Vänsterpartiet:4,False
[CLS] Margareta Israelsson:2 is a member of the [MASK] [MASK] political party . [SEP],Link Link,Swedish Social Democratic Party | Socialdemokraterna:5 | Sveriges socialdemokratiska:5 arbetareparti:4 | Swedish Social Democratic Party,False
[CLS] Tetsuma:3 Esaki:2 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Tōkyō:4,Liberal Democratic Party | Jiminto:2 | Jimintō:3 | LDP:2 | Liberal Democratic Party | Liberal Democratic Party of Japan,False
[CLS] Vladimir Kryuchkov:4 is a member of the [MASK] [MASK] political party . [SEP],Russian Federation,Communist Party of the Soviet Union | Bolshevik:3 Party | CPSU:2 | Communist Party of the Soviet Union | RCP:2 ( b ) | Russian Communist Party ( Bolsheviks:4 ),False
[CLS] Roberto Madrazo:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],People of the Republic,Institutional:2 Revolutionary Party | Institutional:2 Revolutionary Party | National Revolutionary Party | Partido Constitucionalista:2 | Partido de centro izquierda | Party of the Mexican Revolution,False
[CLS] Lin Shu - fen:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of China,Democratic Progressive Party | DPP:2 | Democratic Progressive Party | Democratic Progressive Party ( Taiwan ),False
[CLS] Dan Mackinnon:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Liberal Party of Australia | Lib:2 | Liberal Party of Australia,False
[CLS] Mohammad Ali is a member of the [MASK] [MASK] political party . [SEP],Af Af,Telangana:3 Rashtra:3 Samithi:2 | Telangana:3 Rashtra:3 Samithi:2,False
[CLS] K . V . Subba:2 Reddy:2 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],P . V .,Indian National Congress | Congress | INC:2 | Indian National Congress,False
[CLS] María Antonieta:2 Pérez Reyes is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social Democratic Party,National Action Party | National Action Party | PAN | Partido Accion:2 Nacional | Partido Acción Nacional,False
[CLS] Dadabhai:3 Naoroji:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Indian National Congress | Congress | INC:2 | Indian National Congress,False
[CLS] Herbert Sri Nissanka:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Sri Sri Lanka,Sri Lanka Freedom Party | SLFP:3 | Sri Lanka Freedom Party,False
[CLS] Raymond Knops:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Knops:3,Christian Democratic Appeal | CDA:2 | Christen Democratisch:2 Appel:2 | Christen Democratisch:2 Appèl:2 | Christian Democratic Appeal,False
[CLS] Alain Meyer is a member of the [MASK] [MASK] [MASK] political party . [SEP],New New York,Luxembourg Socialist Workers ' Party | Luxembourg Socialist Workers ' Party,False
[CLS] John Palmer MacBeth:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Progressive Conservative Party of Ontario | Ontario Progressive Conservative Party | Parti progressiste:2 - conservateur de l ' Ontario | Progressive Conservative Party of Ontario | Tories:2,False
[CLS] Alan Simpson is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Labour Party | Labour | Labour Party | Labour Party ( UK ),True
[CLS] Jacek Bogucki:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of Poland,Law and Justice | Law and Justice | PiS:2,False
[CLS] M . Mayandi:2 Nadar:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],M . B,Indian National Congress | Congress | INC:2 | Indian National Congress,False
[CLS] Sadifa:2 Khamis:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Nakhtiari:4,Party of the Revolution | CCM:2 | Chama:2 cha Mapinduzi:3 | Party of the Revolution,False
[CLS] Anthony McGuin:4 Rankin:2 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],"Labour Party , a",Progressive Conservative Party of Ontario | Ontario Progressive Conservative Party | Parti progressiste:2 - conservateur de l ' Ontario | Progressive Conservative Party of Ontario | Tories:2,False
[CLS] Norah:2 Beare:2 is a member of the [MASK] [MASK] political party . [SEP],United States,Democratic Unionist:2 Party | DUP:2 | Democratic Unionist:2 Party,False
[CLS] Vuk:2 Drašković:4 is a member of the [MASK] [MASK] political party . [SEP],Republika Srpska,Serbian Renewal:2 Movement | Serbian Renewal:2 Movement,False
[CLS] Alois Stöger:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],P P P,Social Democratic Party of Austria | SPÖ | Social Democratic Party of Austria | Sozialdemokratische:6 Partei Österreichs,False
[CLS] Jenia:2 Taversky:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of Russia,Mapai:2 | Mapai:2,False
[CLS] Peter McMahon is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],New New New New New,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Penny Wright is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Australian Greens:2 | Australian Greens:2 | Green Party ( Australia ) | The Greens:2,False
[CLS] B . Raja Ravi Varma:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,All India Anna Dravida:3 Munnetra:3 Kazhagam:4 | AIADMK:4 | All India Anna Dravida:3 Munnetra:3 Kazhagam:4,False
[CLS] Aghasi:3 Khanjian:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Aghasi:3 Khanjian:2,Communist Party of the Soviet Union | Bolshevik:3 Party | CPSU:2 | Communist Party of the Soviet Union | RCP:2 ( b ) | Russian Communist Party ( Bolsheviks:4 ),False
[CLS] Anna Záborská:4 is a member of the [MASK] [MASK] political party . [SEP],Czech Republic,Christian Democratic Movement | Christian Democratic Movement,False
[CLS] Philip Collier is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Lords,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Sophie Mirabella:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],women ' s,Liberal Party of Australia | Lib:2 | Liberal Party of Australia,False
[CLS] Hanna Zetterberg:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],socialdemokrata:4,Left Party | Left Party | Socialist Left Party | V | Vänsterpartiet:4,False
[CLS] Bruce Bishop is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Liberal Party of Australia | Lib:2 | Liberal Party of Australia,False
[CLS] Johanna Karimäki:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Ra Ra Ra Ra Ra,Green League | Green League | Gröna:4 förbundet:2 | Gröna:4 förbundet:2 r . p . | Ruona:3 lihttu:3 | Ruona:3 lihttu:3 r . b . | Ruoná:3 lihttu:3 | Vihreä:3 liitto:2 | Vihreä:3 liitto:2 r . p .,False
[CLS] Hans de Boer is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],K K K K K,Christian Democratic Appeal | CDA:2 | Christen Democratisch:2 Appel:2 | Christen Democratisch:2 Appèl:2 | Christian Democratic Appeal,False
[CLS] Karl von Westphalen:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Lords,Christian Democratic Union | CDU | Christian Democratic Union | Christian Democratic Union of Germany | Christlich:2 Demokratische:3 Union | Christlich:2 Demokratische:3 Union Deutschlands,False
[CLS] Yannis:2 Dragasakis:4 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Communist Party of Greece | Communist Party of Greece | Greek Communist Party | KKE:2,False
[CLS] Heinrich Rau:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],P P P,Socialist Unity Party of Germany | East German Communist Party | SED | Socialist Unity Party of Germany | Sozialistische:3 Einheitspartei:2 Deutschlands,False
[CLS] Ajay:2 Maroo:2 is a member of the [MASK] [MASK] political party . [SEP],Af Af,Bharatiya:4 Janata:2 Party | BJP:3 | Bharatiya:4 Janata:2 Party,False
[CLS] Joseph Jackson Cleary:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Labour Party | Labour | Labour Party | Labour Party ( UK ),False
[CLS] Pape Diop:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],A . N,Senegalese:2 Democratic Party | Senegalese:2 Democratic Party,False
[CLS] Martine Taelman:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],P P P,Open Flemish:3 Liberals:2 and Democrats | Open Flemish:3 Liberals:2 and Democrats | Open Vlaamse Liberalen:2 en Democraten:2 | Open Vld:2 | VLD:2,False
[CLS] Karin Åström:2 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],socialdemokrata:4,Swedish Social Democratic Party | Socialdemokraterna:5 | Sveriges socialdemokratiska:5 arbetareparti:4 | Swedish Social Democratic Party,False
[CLS] Toby Barrett is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Progressive Conservative Party of Ontario | Ontario Progressive Conservative Party | Parti progressiste:2 - conservateur de l ' Ontario | Progressive Conservative Party of Ontario | Tories:2,False
[CLS] Charlotte Anita Whitney is a member of the [MASK] [MASK] political party . [SEP],United States,Communist Labor Party of America | Communist Labor Party of America,False
[CLS] James Hurst:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Thorleif:3 Røhn:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],socialdemokrata:4,Nasjonal:2 Samling:2 | Nasjonal:2 Samling:2 | National Union,False
[CLS] Enneüs:3 Heerma:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],P P P,Christian Democratic Appeal | CDA:2 | Christen Democratisch:2 Appel:2 | Christen Democratisch:2 Appèl:2 | Christian Democratic Appeal,False
[CLS] Bob Ives:2 is a member of the [MASK] [MASK] political party . [SEP],United States,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Girdhari:4 Lal:2 Bhargava:4 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Bharatiya:4 Janata:2 Party | BJP:3 | Bharatiya:4 Janata:2 Party,False
[CLS] Glen Little is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Progressive Conservative Party of Newfoundland and Labrador | Progressive Conservative Party of Newfoundland and Labrador,False
[CLS] Clifford Lincoln is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Quebec Liberal Party | PLQ:2 | Parti liberal du Quebec | Parti libéral du Québec | Quebec Liberal Party,False
[CLS] Lynne Neagle:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Welsh Labour | Llafur:3 Cymru | Welsh Labour | Welsh Labour Party,False
[CLS] Harihar:2 Narayan:2 Prabhakar:4 is a member of the [MASK] [MASK] political party . [SEP],Harihar:2,Bharatiya:4 Janata:2 Party | BJP:3 | Bharatiya:4 Janata:2 Party,False
[CLS] Christiane Scrivener:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social Social Party,Republican Party | Parti republicain:2 | Parti républicain:2 | Republican Party,False
[CLS] Albert Bedouce:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],U . S .,French Section of the Workers ' International | French Section of the Workers ' International | SFIO:2 | Section Française de l ' Internationale Ouvrière:3,False
[CLS] John McDonald is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,National Party of Australia | Australian Country Party | National Country Party | National Party of Australia,False
[CLS] Viktor Yushchenko:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Communist Party of Russia,Our Ukraine | Our Ukraine,False
[CLS] Paul Brousse:2 is a member of the [MASK] [MASK] political party . [SEP],P P,French Section of the Workers ' International | French Section of the Workers ' International | SFIO:2 | Section Française de l ' Internationale Ouvrière:3,False
[CLS] Pablo Longueira:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Social Party of Chile,Independent Democratic Union | Sinvergüenza:5 del estado,False
[CLS] Abubakar:3 Saleh:2 Michika:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Awami:2 League,National Republican Convention | NRC:2 | National Republican Convention,False
[CLS] William James Hammell:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Progressive Party of Canada | Progressive Party of Canada,False
[CLS] María del Carmen Escudero:3 is a member of the [MASK] [MASK] political party . [SEP],PNV:2,National Action Party | National Action Party | PAN | Partido Accion:2 Nacional | Partido Acción Nacional,False
[CLS] Flavio Maspoli:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social Social Party,Ticino League | Lega dei Ticinesi:3 | Ticino League,False
[CLS] Sabitri:3 Mitra:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Sabitri:3 Mitra:2,Indian National Congress | Congress | INC:2 | Indian National Congress,False
"[CLS] Matthew Oakeshott:3 , Baron Oakeshott:3 of Seagrove:3 Bay is a member of the [MASK] [MASK] political party . [SEP]",Labour Party,Liberal Democrats | Lib:2 Dems:2 | Liberal Democrats,False
[CLS] Jhong:2 Hilario:3 is a member of the [MASK] [MASK] political party . [SEP],Jhong:2,United Nationalist:2 Alliance | UNA:2 | United Nationalist:2 Alliance,False
[CLS] Robert Grant is a member of the [MASK] [MASK] [MASK] political party . [SEP],Greensboro:3,British Columbia Conservative Party | British Columbia Conservative Party,False
[CLS] Petre:2 Roman is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],U . S .,National Salvation:2 Front | National Salvation:2 Front,False
[CLS] Lambert Schaus is a member of the [MASK] [MASK] [MASK] political party . [SEP],P P P,Christian Social People ' s Party | Christian Social People ' s Party,False
[CLS] Fernando de la Rúa:2 is a member of the [MASK] [MASK] political party . [SEP],PNV:2,Radical Civic Union | Finado:2 partido Unión Cívica:3 Radical | Radical Civic Union | UCR:2 | Union Civica:2 Radical,False
[CLS] Evangelia:3 Tzampazi:4 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Tzampazi:4,Panhellenic:4 Socialist Movement | PASOK:3 | Panhellenic:4 Socialist Movement,False
[CLS] Jackie Kelly is a member of the [MASK] [MASK] political party . [SEP],United States,Liberal Party of Australia | Lib:2 | Liberal Party of Australia,False
[CLS] Hidipo:3 Hamutenya:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Rally for Democracy and Progress | Rally for Democracy and Progress,False
[CLS] Petra Steger:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],P P P,Austrian Freedom Party | Austrian Freedom Party | FPÖ:3 | Freedom Party of Austria | Freiheitliche:2 Partei Österreichs,False
[CLS] Harvie:2 Andre is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Progressive Conservative Party of Canada | Progressive Conservative Party of Canada,False
[CLS] Ian Murray is a member of the [MASK] [MASK] political party . [SEP],Down Down,Labour Party | Labour | Labour Party | Labour Party ( UK ),False
[CLS] Mabel Rebello:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social Social Party,Indian National Congress | Congress | INC:2 | Indian National Congress,False
[CLS] Michael Lucy is a member of the [MASK] [MASK] political party . [SEP],United States,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Kanimozhi:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Kanimozhi:3,Dravida:3 Munnetra:3 Kazhagam:4 | DMK:2 | Dravida:3 Munnetra:3 Kazhagam:4,False
[CLS] Abdul Rahman Abbas is a member of the [MASK] [MASK] [MASK] political party . [SEP],Al Jazeera:2,United Malays:2 National Organisation | United Malays:2 National Organisation,False
[CLS] Jan Kohout:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],P P P,Communist Party of Czechoslovakia | Communist Party of Czechoslovakia | KSČ:2,False
[CLS] Roy Nikisch:2 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],A . B .,Radical Civic Union | Finado:2 partido Unión Cívica:3 Radical | Radical Civic Union | UCR:2 | Union Civica:2 Radical,False
[CLS] Alexander Parvus:2 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],U . S .,Social Democratic Party of Germany | SPD | Social Democratic Party of Germany | Sozialdemokratische:6 Partei Deutschlands,False
[CLS] P . K . Vairamuthu:4 is a member of the [MASK] [MASK] political party . [SEP],Congress Party,All India Anna Dravida:3 Munnetra:3 Kazhagam:4 | AIADMK:4 | All India Anna Dravida:3 Munnetra:3 Kazhagam:4,False
[CLS] Hilda Narváez:3 Bravo is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Iz Iz Iz Iz Iz,Institutional:2 Revolutionary Party | Institutional:2 Revolutionary Party | National Revolutionary Party | Partido Constitucionalista:2 | Partido de centro izquierda | Party of the Mexican Revolution,False
[CLS] Czesław:3 Fiedorowicz:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],party - party,Civic Platform | Civic Platform | Platforma:2 Obywatelska:4,False
[CLS] Archibald Blacklow:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,United Australia Party | UAP:2 | United Australia Party,False
[CLS] George Hahn is a member of the [MASK] [MASK] political party . [SEP],United States,Social Credit Party of Canada | Social Credit Party | Social Credit Party of Canada,False
[CLS] Pál Csáky:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],People of People,Party of the Hungarian Community | MKP:2 | Party of the Hungarian Community | SMK | SMK - MKP:2,False
[CLS] Brian Sedgemore:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Liberal Democrats | Lib:2 Dems:2 | Liberal Democrats,False
[CLS] Fouad:2 Abou:2 Nader:2 is a member of the [MASK] [MASK] political party . [SEP],Mahdi:2,Kataeb:2 Party | Kataeb:2 Party | Lebanese Phalanges:3 Party | Phalange:3,False
[CLS] Frank Engel is a member of the [MASK] [MASK] political party . [SEP],Social Credit,Christian Social People ' s Party | Christian Social People ' s Party,False
[CLS] Bert Soper:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],P P P,Liberal Party of Canada | Grits:2 | LPC:2 | Liberal Party of Canada,False
[CLS] Graeme:3 Campbell is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Charles Pannell:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Labour Party | Labour | Labour Party | Labour Party ( UK ),False
[CLS] Noriah:2 Kasnon:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],K K K,United Malays:2 National Organisation | United Malays:2 National Organisation,False
[CLS] David Watson is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Morley Kells:2 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Progressive Conservative Party of Ontario | Ontario Progressive Conservative Party | Parti progressiste:2 - conservateur de l ' Ontario | Progressive Conservative Party of Ontario | Tories:2,False
[CLS] David Llewellyn:4 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Alexey:2 Stakhanov:4 is a member of the [MASK] [MASK] political party . [SEP],Russian Federation,Communist Party of the Soviet Union | Bolshevik:3 Party | CPSU:2 | Communist Party of the Soviet Union | RCP:2 ( b ) | Russian Communist Party ( Bolsheviks:4 ),False
[CLS] Nazeer:3 Ahmed Baghio:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Baghio:3,Pakistan Peoples Party | PPP:2 ( Pakistan ) | Pakistan People ' s Party | Pakistan Peoples Party | Pakistani People ' s Party,False
